Instrument,Biodiversity Targets,Targets Pollution,Cost of Pollution and Waste,Policy Waste,Commitment to Align Disclosures with TCFD Recommendations,Scope 1 Estimated Date,Emission Controversies Count,Fossil Fuel Debt Finance count,Climate Risk Insurance Count,Wastewater Management Controversies Count,Low Carbon Transition Controversies Count,Pollution Controversies Count,Total Waste To EVIC USD in million,Water Pollutant Emissions To EVIC USD in million,Ozone-Depleting Substances To EVIC USD in million,SOx Emissions To EVIC USD in million,Biodiversity Due Diligence,Biodiversity Risk Assessment,Biodiversity Commitment,Targets Waste,Policy Pollution,Facilities Water Discharge,Reporting Against the TCFD Recommendations,Scope 2 Estimated Date,Recent Emission Controversies Count,Recent Fossil Fuel Debt Finance Count,Recent Climate Risk Insurance Count,Recent Wastewater Management Controversies Count,Recent Pollution Controversies Count,Total Hazardous Waste To EVIC USD in million,Flaring Gases To EVIC USD in million,NOx Emissions To EVIC USD in million,VOC Emissions To EVIC USD in million,Accidental Spills To EVIC USD in million,"GHG Emissions Direct, Scope 1 - 5 year CAGR","GHG Emissions Indirect, Scope 2 - 5 year CAGR",CO2 Estimation Method,Ozone-Depleting Substances,NOx Emissions,VOC or Particulate Matter Emissions Reduction,Particulate Matter Emissions Reduction,Total Hazardous Waste To Revenues USD in million,Non-Hazardous Waste,TRWASTERECYCLINGRATIO,TRWASTEREDUCTIONINITIATIVES,Water Pollutant Emissions To Revenues USD in million,TRWATERPOLLUTANTEMISSIONS,"GHG Emissions Direct, Scope 1 - 3 year CAGR","GHG Emissions Indirect, Scope 2 - 3 year CAGR",Total CO2 Equivalent Emissions To Million Revenues USD YoY,Estimated CO2 Equivalents Emission Total,Flaring Gases,NOx and SOx Emissions Reduction,SOx Emissions,TRVOCEMISSIONSREDUCTION,TRVOCEMISSIONS,Waste Recycled To Total Waste,TRWASTETOTAL,TRWASTERECYCLEDTOTAL,Hazardous Waste,e-Waste Reduction,TRWATERDISCHARGED,ISO 14000 or EMS,EMS Certified Percent,Staff Transportation Impact Reduction,Environmental Expenditures Investments,Environmental Provisions,Self-Reported Environmental Fines,Flaring Gases To Revenues USD in million,NOx Emissions To Revenues USD in million,VOC Emissions To Revenues USD in million,Self-Reported Environmental Fines To Revenues in million,Environmental Restoration Initiatives,Accidental Spills,Environmental Expenditures,Environmental Investments Initiatives,Environmental Partnerships,Ozone-Depleting Substances To Revenues USD in million,SOx Emissions To Revenues USD in million,Accidental Spills To Revenues USD in million,Policy Nuclear Safety
STAN.L,0,0,0,0,1,,,,,,,,0.010176235823511,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,91481.0,,False,,,,0.35,,,,False,,No,,False,0,,,,,,,False,,,False,True,,,,False
CCEPC.L,,,,,1,,,,,,,,3.09770333103252,,,,,,,,,,1,,,,,,,0.015151542416357,,,,,,,Reported,,,,False,0.039371642896336,125324.0,,,,,,,,508611.0,,False,,,,0.969803080832142,,,616.0,False,,ISO 14000,100.0,False,1,,0,,,,0.0,True,,,True,True,,,,False
CRDA.L,,,,,1,,,,,,,,3.01278633780471,,,,,,,,,,1,,,,,,,0.702208479242165,,,0.006277496589369,,,,Reported,,,1,False,5.59997531567181,47106.0,,,,,,,,179205.0,,False,,,,0.300967080199277,,,14316.0,False,,ISO 14000,100.0,False,1,5700000,0,,,0.050061807830377,0.0,False,,800000,True,True,,,,False
ANTO.L,0,0,0,1,1,,,,,,,,22205.7921820804,,,,1,1,1,0,1,0,1,,,,,,,3559.53506099529,,,,,,,Reported,,,1,True,15013.8171272603,461036521.0,,,,,,,,2166020.0,,False,,,,4.0255167933e-05,,,88010996.0,True,,No,,False,0,,,,,,,True,,,False,True,,,,False
EZJ.L,0,0,0,1,1,,,,,,,,0.037281389919444,,,,0,0,0,0,1,0,1,,,,,,,0.01105185484892,,,,,,,Reported,,,0,False,0.012560956440647,191.93,,,,,,,,6421430.0,,True,,,,,,,80.87,False,,No,,False,0,,,,,,,False,,,False,True,,,,False
BNZL.L,0,0,0,1,1,,,,,,,,1.31993145431146,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,112168.0,,False,,,,0.5,,,,False,,ISO 14000,22.0,True,0,,,,,,,False,,,False,True,,,,False
SGE.L,0,0,0,0,1,,,,,,,,0.04797161076579,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,4303.4,,False,,,,,,,,False,,No,,True,,,,,,,,False,,,False,False,,,,False
SVT.L,1,1,0,1,1,,,,,,,,15.8192963599467,,,,1,1,1,0,1,0,1,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,560065.0,,False,,,,0.867320760999531,,,,False,,ISO 14000,,True,1,,,,,,,True,,,True,True,,,,False
LMPL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,175.0,,False,,,,,,,,False,,No,,True,0,,,,,,,False,,,False,False,,,,False
ICAG.L,,,,,,,,,,,,,0.868470708352643,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,10959200.0,,True,,,,0.3,,,,False,,ISO 14000,,False,1,,,,,,,True,,,True,True,,,,False
REL.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,1,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,42481.0,,False,,,,,,,,True,,ISO 14000,100.0,True,,,,,,,,True,,,False,True,,,,False
SMIN.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,51784.0,,False,,,,,,,,False,,ISO 14000,,False,0,,0,,,,0.0,False,,,False,True,,,,False
BAB.L,,,,,,,,,,,,,4.72853514742033,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,130494.0,,False,,,,0.625584083905878,,,,False,,ISO 14000,75.0,False,0,,,,,,,False,,,False,False,,,,False
AZN.L,1,0,0,0,1,,,,,,,,0.103523257127894,0.002028967333313,,,0,0,1,1,0,0,1,,,,,,,0.040575171836351,,,0.0005302033978,,,,Reported,,,1,False,0.219138238145701,15078.0,,,0.010958039277581,,,,,418106.0,,False,,,,0.365850707746905,,,9719.0,False,,ISO 14000,55.0,True,1,131000000,0,,,0.00286352055196,0.0,True,,26600000,True,True,,,,False
HSBA.L,0,0,0,0,1,,,,,,,,0.038480767648033,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,366000.0,,False,,,,0.615384615384615,,,,True,,No,,True,1,,,,,,,True,,,True,True,,,,False
