Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
STAN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05554512882971,1.57592524738981,,,True,True,False,True,False,False,True,True,True,False,42.1416234887737,0.158469945355191,,658800.0,658800.0,612000.0,,,104400.0,,True,False,16.3756156847694,256000.0,256000.0,,True,,False,False,True,1,,104400.0,158469.945355191,,
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26926,,,True,True,,,,,,,,,,,,,95.2096083812993,767.836355808437,,,True,True,True,True,True,True,False,True,True,False,231.039071565513,0.026292873864644,,2992674.0,2965748.0,958223.0,26926.0,,78686.0,26926.0,True,False,1863.25941022432,24135000.0,24135000.0,649316.0,True,True,True,False,False,,,105411.0,35223.0146016572,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,215.411234700615,306.493808743888,,,True,True,True,True,True,True,True,True,True,True,1567.98744110592,0.249561089645071,,2980677.0,2979369.0,583201.0,1308.0,,743861.0,1308.0,True,False,2230.98132998987,4241000.0,4241000.0,,True,True,False,False,False,,,745169.0,249999.916126437,,
ANTO.L,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,69010000,100.0,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,1180.53618462818,2911.33252584773,,,True,True,False,False,True,True,True,True,False,False,3746.04596993347,0.138693961385164,,27983338.0,27983338.0,12542272.0,,,3881120.0,,True,False,9238.16280906547,69010000.0,37678000.0,336230000.0,False,,False,True,True,1,,3881120.0,138693.961385164,,
EZJ.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,2393.61237485077,,,,True,False,False,True,False,False,False,False,False,False,15642.3561039266,0.000433469065249,,30724991.1648,30724991.1648,13318.3332,,,13318.3332,,True,False,,,,,False,,False,False,False,,,13318.3332,433.469065249337,,
BNZL.L,False,True,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,80.6610987641264,,,,True,False,True,True,False,False,True,True,True,False,87.2743070287396,,,1206559.18078,1206559.181,,,,,,False,False,,,,,True,True,False,False,False,,,,,,
SGE.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,5.9589643606371,1.7194193119321,,,True,True,False,True,False,False,False,False,True,False,26.4776122475764,0.257881788361074,,65848.0,65848.0,49872.0,,,16981.0,,True,False,7.63993792831905,19000.0,19000.0,,True,True,False,False,False,,,16981.0,257881.788361074,,
SVT.L,False,True,False,False,True,True,False,True,True,True,False,False,True,False,,,,,,,,,,0,,,,,,,,698400.0,,False,False,,,,,,,,,,,,,531.719390467008,,,,True,True,False,True,True,True,True,True,True,False,3420.32176971904,,0.577011494252874,7830000.0,3312000.0,2808000.0,698400.0,,,4518000.0,True,False,,,,,True,True,False,False,False,,,4518000.0,577011.494252874,,
LMPL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.887153601712872,,,,True,False,False,True,True,False,False,False,True,False,19.122267471438,,,2692.8,2692.8,,,,,,True,False,,,,,True,True,False,False,False,,,,,,
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5046.69420644072,17.5650653565458,,,True,False,False,True,True,False,True,True,False,False,15697.4755537107,0.004,,150840000.0,150840000.0,720360.0,,,603360.0,,True,False,54.6352072772348,525000.0,525000.0,,True,True,False,False,False,,,603360.0,4000.0,,
