Instrument,Board Conflicts of Interest,Board Effectiveness Review,Board Oversight of Health and Safety,Board Related Party Transactions,Chief Legal Officer Report to Board,Code of Conduct Non-Compliance,Code of Conduct Oversight,Compliance Head Report to Board,C-Suite Risk Oversight,Chairperson Independent,Lead Independent Director,Bonus Cap Senior Executives,CEO Claw-Back,Executive Claw-Back,Executive Compensation Risk,Code of Conduct Claims,Targets Board Diversity Percent,Bonus Cap High Paid Staff,Bonus Cap Senior Executives Percent,Targets Board Diversity - Target Set Year,Targets Board Diversity - Target Year,Median Salary Gap,Current CEO Chairman Duality,Board Functions Policy,Corporate Governance Board Committee,Nomination Board Committee,Audit Board Committee,Compensation Board Committee,Board Structure Policy,Policy Board Size,Policy Board Independence,Policy Board Diversity,Policy Board Experience,Policy Executive Compensation Performance,Policy Executive Compensation ESG Performance,Policy Executive Retention,Compensation Improvement Tools,Internal Audit Department Reporting,Succession Plan,External Consultants,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee Expertise,Audit Committee NonExecutive Members,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Nomination Committee Independence,Nomination Committee Mgt Independence,Nomination Committee Involvement,Nomination Committee NonExecutive Members,Board Attendance,Number of Board Meetings,Board Meeting Attendance Average,Committee Meetings Attendance Average,Board Size More Ten Less Eight,Board Size,Board Background and Skills,"Board Gender Diversity, Percent","Board Specific Skills, Percent",Average Board Tenure,Non-Executive Board Members,Independent Board Members,Strictly Independent Board Members,CEO Chairman Duality,CEO Board Member,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
STAN.L,True,True,False,False,False,True,False,True,True,False,False,True,False,True,True,,,200,132,,,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,10,100.0,98.33,4,14,True,42.8571428571429,68.75,5.3125,87.5,81.25,81.25,False,True,False,1.6875,True,999,1,True,False,64372975.8,7751757.6,True,False,True,True,4267821.6,0,True,1,,21.4285714285714,42.8571428571429,,8.33333333333333,3662.34145758662,21.0,21.4,0.0,,78.6,0.0
CCEPC.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,60.0,True,100.0,85.7143,True,14.2857142857143,85.7143,True,6,99.0,97.16,7,17,True,29.4117647058824,50.0,3.98611111111111,88.8888888888889,50.0,50.0,False,True,False,0.833333333333333,True,999,1,True,False,31858800.0,10379450.088,True,False,True,True,3016964.888,0,False,,,35.2941176470588,20.0,,,2314.81508392066,11.76,,,,,
CRDA.L,,,,,False,,,True,,True,,,,,,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,85.7143,False,85.7143,87.5,True,0.0,87.5,True,7,100.0,100.0,0,9,True,44.4444444444444,44.4444444444444,5.83333333333333,77.7777777777778,66.6666666666667,66.6666666666667,False,True,False,1.0,True,999,1,True,False,14121600.0,5989667.112,True,False,True,True,917746.4795,0,False,,,11.1111111111111,20.0,,,7473.32768839966,,,,,,
ANTO.L,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,,30,,100,,,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,80.0,True,False,100.0,83.3333333333333,True,100.0,100.0,True,0.0,100.0,True,13,96.92,98.73,0,10,True,30.0,10.0,11.1,100.0,60.0,60.0,False,False,False,0.7,True,999,1,True,False,4808000.0,4808000.0,True,False,True,False,4611000.0,0,False,,,40.0,12.5,,,820.197884680996,,,,,,
EZJ.L,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,,,,200,,,56.0,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,13,90.08,97.73,2,12,True,33.3333333333333,53.8461538461538,3.07692307692308,84.6153846153846,76.9230769230769,76.9230769230769,False,True,False,1.92307692307692,True,999,1,True,False,9200000.0,3302244.0,True,False,True,True,892800.0,0,False,,,50.0,33.3333333333333,,14.2857142857143,1594.7304558849,9.1,,,,,
BNZL.L,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,0.0,,,180,,,164.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,83.3333,False,83.3333,85.7143,True,0.0,85.7143,True,7,100.0,100.0,0,8,True,37.5,37.5,3.6875,75.0,62.5,,False,True,False,2.25,True,999,1,True,False,9305600.0,5509549.96,True,False,True,True,1074743.76,0,False,,,25.0,18.1818181818182,,,904.765145696201,,,,,,
SGE.L,True,True,False,False,False,False,False,True,False,True,False,True,True,True,False,,,,175,,,43.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,80.0,False,True,83.3333333333333,60.0,False,60.0,83.3333333333333,True,0.0,83.3333333333333,True,5,97.92,100.0,0,9,True,22.2222222222222,40.0,4.525,80.0,80.0,80.0,False,True,False,0.4,True,999,1,True,False,14115000.0,2816784.0,True,False,True,True,987660.0,0,False,,,11.1111111111111,40.0,,,7249.61479198767,11.0,11.0,,,89.0,
SVT.L,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,9.8,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,80.0,True,100.0,87.5,True,0.0,87.5,True,7,100.0,99.15,0,9,True,55.5555555555556,77.7777777777778,5.08333333333333,77.7777777777778,77.7777777777778,77.7777777777778,False,True,False,1.77777777777778,True,999,1,True,False,12182300.0,3868867.62,True,False,True,True,988918.83,0,False,,,11.1111111111111,33.3333333333333,,,6667.19570928196,11.0,,,,,
LMPL.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,83.3333333333333,True,83.3333333333333,100.0,True,0.0,100.0,True,6,100.0,100.0,0,9,True,33.3333333333333,44.4444444444444,6.03125,77.7777777777778,66.6666666666667,55.5555555555556,True,True,True,0.222222222222222,True,999,1,True,False,10690000.0,4001421.6,True,False,True,False,702729.0,0,False,,,,20.0,,,87479.5417348609,,,,,,
ICAG.L,,,,,False,,,True,,True,,,,,,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,87.5,True,0.0,87.5,False,19,97.7,94.24,2,12,True,41.6666666666667,23.0769230769231,3.17307692307692,84.6153846153846,69.2307692307692,69.2307692307692,False,True,False,1.38461538461538,True,999,1,True,False,13075000.0,1727936.0,True,False,True,True,1960980.0,0,False,,,,23.5294117647059,,6.25,1547.33727810651,,,,,,
