Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
STAN.L,False,True,True,,,1,21014000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,,False,False,True,False,,,False,False,1.5625,True,999,1,True,False,105576575.7,13331721.6,True,False,True,True,4520224.3,0,False,,,41.6666666666667,33.3333333333333,,69.2307692307692,5024.10658132673,33.0,33.3,0.0,,66.7,0.0
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTO.L,True,True,True,,,1,6613400000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,True,False,4,,,,True,False,False,True,False,True,,False,False,0.818181818181818,True,999,1,True,False,20289000.0,5434000.0,True,False,True,False,5111000.0,0,False,,,36.3636363636364,17.6470588235294,,,3067.86221913086,,,,,,
EZJ.L,True,True,True,,,1,12446133000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,0,,,,False,False,False,True,False,False,,False,False,2.4,True,999,1,True,False,16100000.0,3851897.0,True,False,True,True,1203300.0,0,False,,,40.0,20.0,,12.5,1729.50907723708,10.0,,,,,
BNZL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGE.L,False,True,True,,,1,3117884000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,,,False,False,0.727272727272727,True,999,1,True,False,18959000.0,6132819.0,True,False,True,True,1391817.0,0,False,,,20.0,40.0,,,8129.93138936535,20.0,20.0,,,80.0,
SVT.L,True,True,True,,,1,2670217830.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,False,,True,False,1.4,True,999,1,True,False,10132200.0,3958029.69,True,False,True,True,946927.74,0,False,,,11.1111111111111,45.4545454545455,,,4679.78384370237,22.0,,,,,
LMPL.L,False,False,True,,,1,180925110.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,1,,,,False,False,False,True,True,,,,True,0.454545454545454,True,999,1,True,False,8970000.0,2952520.2,True,False,True,False,776979.0,0,False,,,,20.0,,,61145.1942740286,,,,,,
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REL.L,True,True,True,,,1,11802877400.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,1.72727272727273,True,999,1,True,False,20499000.0,16913620.9,True,False,True,True,2227841.2766,0,False,,,50.0,27.2727272727273,,,2172.88530845877,10.0,10.0,,,90.0,
SMIN.L,True,True,False,,,1,4026499200.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,1,,,,False,False,False,True,False,True,,False,False,2.46153846153846,True,999,1,True,False,15482000.0,2128953.6,True,False,True,False,1565860.8,0,False,,,20.0,20.0,,,4943.16730523627,20.0,20.0,,,80.0,
BAB.L,True,True,True,,,1,5474125380.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,True,,,False,False,1.3,True,999,1,True,False,15705000.0,1006372.8,True,False,True,True,857143.5,0,False,,,12.5,0.0,,,3538.27783535349,0.0,,,,,
AZN.L,False,True,True,,,1,54073000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,,False,False,True,False,True,,False,False,2.07692307692308,True,999,1,True,False,87736697.9106,18426200.8,True,False,True,True,3050181.8,0,False,,,30.7692307692308,45.4545454545455,,,1622.5602039946,31.0,23.0,,,69.0,8.0
HSBA.L,True,False,True,,,1,75925000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,True,False,False,True,False,False,,False,False,3.06666666666667,True,999,1,True,False,94156534.9,11463829.3,True,False,True,True,6983640.2,0,False,,,7.69230769230769,20.0,,5.26315789473684,1240.12558314126,38.0,,,,,
CTEC.L,False,True,True,,,1,2289200000.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,2,,,,False,False,False,True,True,,,False,False,0.555555555555556,True,999,1,True,False,34728033.8,6329314.9,True,False,False,True,1178536.2,0,False,,,11.1111111111111,33.3333333333333,,,15170.379958064,22.0,,,,78.0,22.0
