Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
STAN.L,A,B,91.0092666510857,60.1651271527033,29.320987654321,A+,A+,A-,92.1810456947483,94.2288429465076,78.9241980954707,B+,B,A,A,A+,A+,A+,A+,A,A+,70.1675257731959,64.5664739884393,84.7027972027972,87.3979591836735,93.1208053691275,96.0714285714286,96.2866108786611,97.2910216718266,84.5975232198142,93.3649289099526
CCEPC.L,A,A,83.845409455129,83.845409455129,100.0,A-,B+,A+,82.1833745008785,74.8568967226932,93.8827514074225,A+,A+,A+,A+,A,B,A-,A-,B,A+,94.1441441441442,94.1964285714286,92.1052631578947,92.6086956521739,89.2857142857143,63.0434782608696,77.6315789473684,75.828313253012,58.5090361445783,94.5216049382716
CRDA.L,A-,A-,80.8874131302142,80.8874131302142,100.0,A-,B+,A,81.9806837032683,71.5737641925728,85.1107127654153,A+,B+,A,A,A+,B+,B+,B+,B-,A+,97.9115479115479,71.0401891252955,85.5987055016181,86.4583333333333,92.7374301675978,68.4027777777778,67.9611650485437,71.3102409638554,57.1536144578313,94.5216049382716
ANTO.L,B+,B+,73.3826352153137,73.3826352153137,100.0,A-,B-,B+,82.7131984600426,58.1887403668543,73.3143596941029,A-,A-,D-,A,A,A+,D+,B,C-,A-,81.9311663479923,79.6786389413989,0.0,85.929203539823,89.6103896103896,93.1858407079646,20.7198443579767,61.2229102167183,33.0495356037152,80.7266982622433
EZJ.L,B,C+,64.1446378100233,49.7552457342799,35.3658536585366,B,A-,C+,65.6091644204852,80.795179799699,47.0476827094474,D+,B+,C+,B+,A,C+,B,A+,C+,B,22.0588235294118,72.5961538461538,50.0,68.0952380952381,83.3333333333333,43.8095238095238,65.8653846153846,94.0402476780186,48.0650154798762,63.6650868878357
BNZL.L,C+,C+,46.583779079763,46.583779079763,100.0,B-,B-,D+,55.1651721294579,56.0783256482721,23.538961038961,C+,B-,D-,C,A-,C,D,B-,C+,B+,43.1818181818182,52.2727272727273,0.0,39.5833333333333,78.5714285714286,39.5833333333333,15.9090909090909,57.7560240963855,42.2439759036145,68.4413580246914
SGE.L,B-,B-,50.3977157879506,50.3977157879506,100.0,B+,C,C+,66.9423173970691,37.543745526813,45.75514907668,A+,B+,D-,A+,A-,B+,C-,C,D,A-,92.4886191198786,67.1652421652422,0.0,98.650234741784,82.1311475409836,71.537558685446,32.9341317365269,35.9907120743034,13.9318885448916,80.7266982622433
SVT.L,B+,B,70.9675159241118,60.4837579620559,50.0,A-,B+,B,80.4176666245633,73.7223585700828,62.6454427925016,A,A-,D,A+,B-,A+,D+,A-,C-,A+,83.3333333333333,80.7692307692308,16.0714285714286,96.1538461538462,53.448275862069,98.7179487179487,23.6111111111111,83.2078313253012,28.2379518072289,94.5216049382716
LMPL.L,B-,B-,51.5034236958676,51.5034236958676,100.0,B-,C,B,55.2363856854371,38.5082304526749,59.6380151603316,B,C+,A-,A,D,D+,A-,B-,D,D,64.4946808510638,48.4962406015038,81.993006993007,83.8592233009709,15.034965034965,19.7815533980583,79.6915167095116,50.9789156626506,13.4036144578313,13.8117283950617
ICAG.L,B+,B-,73.946794691768,51.2591116315983,28.5714285714286,B,A+,A-,58.8366473423752,92.3569958847737,77.4334251606979,A-,A,C+,B+,A-,B,D,A+,A,A-,80.4761904761905,86.8181818181818,50.0,67.4107142857143,80.6122448979592,64.7321428571429,11.5740740740741,95.679012345679,88.2716049382716,81.875
REL.L,A-,A-,83.3137397471586,83.3137397471586,83.6666666666667,A-,A,A-,77.3326839219721,90.1834353097687,77.5825999626046,A+,A+,B-,A+,A+,A+,C-,A+,B+,A+,99.0136570561457,95.7977207977208,52.4017467248908,96.4201877934272,91.8852459016394,95.481220657277,32.9341317365269,96.0526315789474,68.4984520123839,93.3649289099526
SMIN.L,B-,B-,54.6932605507523,54.6932605507523,100.0,C+,B+,C+,49.7807071990836,71.2079764973255,48.8854168449029,A-,B,D+,C+,B-,C-,B,B,A+,B,76.984126984127,64.3939393939394,17.3913043478261,44.8529411764706,56.3492063492063,30.8823529411765,63.4328358208955,64.4736842105263,98.6842105263158,63.6650868878357
BAB.L,B-,B-,55.2708892867436,55.2708892867436,75.0,C+,B+,B,41.8965567894706,71.0986538747583,58.4098249192589,A-,B-,C,B+,C+,D+,D,B+,B+,B+,82.5471698113208,57.2072072072072,41.5094339622642,70.5645161290323,48.3516483516484,25.0,10.6837606837607,71.6114457831325,66.9427710843374,74.7685185185185
AZN.L,A+,A-,94.1117264310555,76.1767423364069,58.2417582417582,A+,A+,A,96.4572768379449,93.0420524408317,90.7904253612605,A+,A+,B,A+,A+,A+,A+,A+,A,A+,95.8841463414634,95.2449567723343,60.4477611940298,96.9248291571754,93.9285714285714,98.9749430523918,96.9767441860465,95.7430340557275,83.8235294117647,93.3649289099526
HSBA.L,B+,C,69.4784081335807,40.2947596223459,11.1111111111111,B,B+,A-,63.3390726118182,72.4254659043296,83.2573638372236,A+,A+,A-,A-,A+,C,C-,A-,D+,A+,96.1984536082474,97.0520231213873,76.5734265734266,79.234693877551,93.1208053691275,41.2755102040816,26.255230125523,81.9659442724458,23.4520123839009,98.1832543443918
CTEC.L,A-,A-,76.4059512805124,76.4059512805124,100.0,A+,B+,C+,92.1787815818042,69.1824033180246,47.3830685643418,A+,B-,D-,A+,A,A+,A+,A-,D-,A+,93.4322033898305,57.9268292682927,0.0,92.8353658536585,90.7239819004525,93.4451219512195,91.9254658385093,82.8947368421053,7.35294117647059,93.3649289099526
WPP.L,A-,A-,78.8975004608291,78.8975004608291,100.0,A-,A-,B+,79.2956690473322,82.3561037318153,66.9489247311828,A+,A+,D-,A,A+,B+,B+,A-,A-,A+,93.0555555555556,97.5806451612903,0.0,84.2222222222222,95.1492537313433,70.0,72.5728155339806,80.8823529411765,80.8823529411765,91.9354838709677
FRES.L,B-,B-,57.774682534089,57.774682534089,100.0,A-,C+,C+,79.8339061577345,42.5746814418166,43.156578765227,C+,C+,D-,A+,B+,A,B+,C+,D-,A-,46.19140625,49.047619047619,0.0,93.1127012522361,69.5804195804196,83.9892665474061,73.6139630390144,46.3102409638554,6.55120481927711,77.9320987654321
