Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
STAN.L,,,,,,,,,,,81904,,True,True,True,True,True,True,True,True,True,True,False,False,False,False,81.0,71.5572038147139,,-2.02988002535854,81904,,16.2,0.0,,False,False,45.5,45.23713,28.4,100,True,True,,,0.48227,0.48227,,,79.0,,,,0,,,,,,,,,True,37.6,3079590.4,57988032,708.0,False,True,False,False,,,,,,,True,,73.0,12.6,3.6,,,,,,,,,,,,,,,
CCEPC.L,,,,,,,,,,,22000,,False,True,True,True,True,True,True,True,True,True,True,False,False,True,,75.393052076894,,-5.5793991416309,22106,84.9,12.9,0.0,,False,False,25.0,3.8,35.6,100,True,False,,,,,,,,,,,3,,,,,4.2,,,,False,14.3,316115.8,9000000,499.622727272727,False,True,False,False,,,,,,,True,,,3.0,9.9,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,5684,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,,,,24.1048034934498,5684,40.0,8.0,0.0,,False,False,36.1,,25.532,,True,True,,,2.7,2.7,2.4,3.0,,,24.0,,,,,,,,,,,False,17.3,85000.0,,,False,True,True,False,,,,,,,False,,81.28,,,100.0,,,,,,,,,,,,,,
ANTO.L,True,True,True,False,False,False,False,False,True,78.0,5983,,True,True,True,False,True,True,True,True,True,True,True,False,False,False,,49.65409437751,495000000,2.81835366901531,7081,77.0,11.0,0.0,,False,False,17.2,,18.5,,True,False,1.2,,2.61,2.61,2.39,3.38,167.0,120,47.0,0.14,0,1,,1.33,1.22,1.72,,,,False,44.0,304781.0,1697000,283.636971419021,False,True,True,False,,,,,,,False,,,4.0,7.0,,,,,,,,,,,,,,,
EZJ.L,False,False,False,False,False,False,False,False,False,,12389,,False,True,True,False,True,True,True,True,False,True,True,False,False,True,,15.6304237560193,,-14.9457641081972,13000,,,0.0,,False,False,41.0,,,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,False,False,,,,,,,False,,50.0,,,,,,,,,,,,,,,,,
BNZL.L,False,False,True,True,True,True,True,True,False,,19239,,False,True,True,False,True,True,True,True,False,True,True,False,False,False,88.0,71.8103750401027,,1.3432364096081,19239,,12.2,0.0,,False,False,36.0,,16.0,,False,False,,,,,,,,,,,0,,0.0014592,5.1,,5.1,7018.3872,7018.387,,False,,,,,False,True,False,False,,,,,,,False,,88.5,12.2,,,,,,,,,,,,,,,,
SGE.L,,,,,,,,,,,11785,,False,True,True,True,True,True,True,True,False,False,True,False,False,False,,28.0938824101069,,-5.76523268830961,11361,,13.0,6.96075872270077,800,False,False,42.0,,42.0,,True,False,,,0.46769,0.46769,,,11.0,,,,,,,0.006,,,,,,False,32.8,381759.2,,,True,True,False,False,,,,,,,False,,,9.6,3.4,,,,,,,,,,,,,,,92.2
SVT.L,False,False,True,True,False,True,True,True,False,3.42,6796,,False,True,True,True,True,True,True,True,False,False,True,True,False,True,81.0,54.0162442570515,,3.28267477203648,6864,,,0.0,,False,False,29.0,,,,True,True,,,,,,,,,,,0,0,,2.06,0.6,2.0,,,,False,16.666,114392.0,,,True,True,True,False,,,,,,,True,,96.4,,,,,,,,,,,,,,,,,
LMPL.L,,,,,,,,,,,33,,False,True,True,True,True,True,True,True,False,True,True,False,True,False,,7.71,,-2.94117647058824,33,,6.0,0.0,,False,False,45.455,,22.222,,True,True,,,0.0,,,0.0,,,0.0,,0,,0.0,,,0.0,,0.0,,False,10.121,334.0,,,True,True,False,False,,,,,,,False,,,6.0,,,,,,,,,,,,,,,,
ICAG.L,,,,,,,,,,,57928,,False,True,True,True,True,True,True,True,True,True,False,True,False,False,,13.2073007334963,,-10.3864360632406,57928,89.0,21.0,0.0,,False,True,43.0,,30.0,,False,False,1.1,,,,,,,,,0.0,0,,0.00030240001381,12.05,,12.05,4379.357,4379.357,,False,26.4,1529300.0,,,False,True,True,True,1,,1,,,,False,,,16.0,5.0,,,,,,,,,,,,,,,
