Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
STAN.L,False,True,True,False,True,False,True,False,,,,True,True,True,True,True,True,False,False,3403.87823185988,65300000,0.0,,True,True,True,False,True,,True,True,,2,,2,,,,,,,,,,,,
CCEPC.L,True,False,True,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,707.256697459584,12249686,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CRDA.L,False,False,False,False,True,True,True,True,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ANTO.L,True,True,True,False,True,True,True,False,,,,False,True,True,True,True,False,True,True,7573.72124278599,47900000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EZJ.L,False,False,False,False,False,False,False,False,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,True,,True,True,,,,1,,,,,,,,,,,,
BNZL.L,True,True,False,True,True,True,True,False,,,,False,True,True,True,False,True,False,False,191.037833797085,2300000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SGE.L,True,False,False,False,False,True,True,False,0,,,True,True,True,True,True,True,False,False,291.150183150183,635872,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SVT.L,False,False,True,True,True,True,True,False,0,,,True,True,True,True,True,True,False,False,2879.09946997376,5594954,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
LMPL.L,True,True,True,False,True,False,True,False,0,,,False,True,False,True,False,,False,False,501.246246246246,66766,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ICAG.L,False,False,False,False,False,False,False,False,,,,True,True,True,True,True,True,False,False,115.538021330096,2665000,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
REL.L,False,False,True,False,True,False,True,False,,,,True,True,True,True,True,True,True,False,1353.56402139504,12400000,152366.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SMIN.L,True,True,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,,,6000.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BAB.L,True,True,True,True,True,True,True,False,0,,,False,True,True,True,False,True,False,False,,,0.0,,True,False,False,False,True,,True,True,,,,1,,,,,,,,,,,,
AZN.L,True,True,False,False,True,True,True,True,,,,True,True,True,True,True,True,False,False,106837.676780686,4894340811,1687650.0,,True,True,True,True,False,,True,False,,,,,,,,,,,,,,,,
HSBA.L,True,True,True,True,True,True,True,False,,,,False,True,True,True,False,True,True,False,1296.41040511315,107300000,110004.0,,True,True,False,False,True,1,True,True,,4,,1,1,,,,,,,,,,,
CTEC.L,True,False,True,False,False,True,True,False,,,,True,True,True,True,True,True,True,False,606.796116504854,1300000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
WPP.L,True,False,True,True,True,True,True,False,,,,False,True,True,True,False,True,False,False,2162.37335632679,32100000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
FRES.L,True,True,True,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,1360.46592875433,3310000,0.0,,False,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AAF.L,True,False,True,False,True,True,True,False,0,,,True,True,True,True,True,True,False,False,423.370025402202,2000000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
