Instrument,Life Cycle Analysis,Roundtable for Sustainable Palm Oil(RSPO) Support,Target Sustainable Palm Oil Production,"Pollution, Waste and Resource Use Research and Development",Certified Palm Oil Percent,REIT Green Building Certified Percent,Sustainable Palm Oil Production Target Year,Sustainable Palm Oil Production-Year in which Target was set,Environmental Products,Eco-Design Products,Env R&D Expenditures To Revenues in million,Environmental R&D Expenditures,Noise Reduction,Fleet Fuel Consumption,Hybrid Vehicles,Environmental Assets Under Mgt,Equator Principles,Equator Principles or Env Project Financing,Environmental Project Financing,Nuclear,Nuclear Production,Labeled Wood Percentage,Labeled Wood,Organic Products Initiatives,Product Impact Minimization,Take-back and Recycling Initiatives,Product Environmental Responsible Use,GMO Products,Agrochemical Products,Agrochemical 5 % Revenue,Animal Testing Reduction,Renewable/Clean Energy Products,Water Technologies,Sustainable Building Products,Real Estate Sustainability Certifications,Revenue from Environmental Products,Products Recovered to Recycle,Percentage of Green Products,ESG Assets Under Management
STAN.L,False,True,False,False,,,,,True,False,,,False,,False,False,True,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,6.15,
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTO.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
EZJ.L,False,False,False,False,,,,,True,False,,,True,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
BNZL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGE.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,
SVT.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
LMPL.L,False,False,False,False,,31,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,False,False,False,True,,,,
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REL.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,100.0,True,False,True,False,True,False,,False,False,False,False,False,,,,,
SMIN.L,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,False,False,,,,,
BAB.L,False,False,False,False,,,,,True,False,,,True,,False,False,False,,False,True,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
AZN.L,True,False,False,False,,,,,True,True,,,False,,True,False,False,,False,False,,,False,False,True,True,True,False,,False,True,False,False,False,,,,,
HSBA.L,False,False,False,False,,,,,True,False,,,False,,False,True,True,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,179800000000
CTEC.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,True,False,False,False,,,,,
WPP.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
FRES.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAF.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,
HWDN.L,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,100.0,True,False,True,True,True,False,,False,False,False,True,False,,,,,
SGRO.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJP.L,False,False,False,False,,,,,False,False,,,False,,False,True,False,False,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,5000000000
TW.L,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,False,False,,,,,
AHT.L,False,False,False,False,,,,,True,False,,,True,,False,False,False,,False,False,,,False,False,,True,True,False,,False,False,False,False,False,,,,,
HLMA.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,True,True,,24.0,,,
III.L,False,False,False,False,,,,,True,False,,,False,,False,True,False,True,True,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,22900000000
HIK.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNA.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,True,76.1637,,False,False,,False,True,False,,False,False,True,False,True,,,,,
MNG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKGH.L,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,False,True,,,,,
NG.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
RKT.L,True,True,True,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,True,False,True,False,,34.9,,,
WEIR.L,True,False,False,False,,,,,True,False,18558.4291187739,46500000,True,,False,False,False,,False,True,,,False,False,True,False,True,False,,False,False,True,False,False,,,,,
IMI.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRON.L,True,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,,True,True,False,,False,False,False,False,False,,,,,
HSX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPG.L,False,True,False,False,95.0,,,,True,False,,,False,,False,False,False,,False,False,,,False,True,,False,True,False,,False,False,False,False,False,,,,,
