Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
STAN.L,,,,,,1,15648000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,,False,False,True,False,,,False,False,1.35714285714286,True,999,1,True,False,79980213.5,5212147.6,True,False,False,True,4792386.5,0,False,,,,33.3333333333333,,,5111.20996293456,,,,,,
CCEPC.L,,,,,,1,13471057000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,,,False,False,0.68421052631579,True,999,1,True,False,50491800.0,10393732.64,True,False,True,True,3064152.61,1,False,,,47.0588235294118,21.4285714285714,,,4201.69759507365,,,,,,
CRDA.L,,,,,,1,1826692430.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,True,,False,False,1.11111111111111,True,999,1,True,False,3708730.0,2386706.1835,True,False,True,True,916554.893,0,False,,,12.5,22.2222222222222,,,2691.97212745881,,,,,,
ANTO.L,False,True,True,,,1,5129300000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,True,False,4,,,,True,False,False,True,False,True,,False,False,0.909090909090909,True,999,1,True,False,14271000.0,3940000.0,True,False,True,False,4329000.0,0,False,,,30.0,12.5,,,2782.25098941376,,,,,,
EZJ.L,True,True,True,,,1,3886123500.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,1,,,,False,False,False,True,False,True,,False,False,1.75,True,999,1,True,False,5150000.0,975082.5,True,False,True,True,1097775.0,,False,,,36.3636363636364,33.3333333333333,,57.1428571428571,1711.5320704553,,,,,,
BNZL.L,False,True,True,,,1,12366271530.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,False,,True,False,2.875,True,999,1,True,False,8468000.0,3620369.95,True,False,True,True,1103148.8,0,False,,,25.0,8.33333333333333,,,907.93099381346,,,,,,
SGE.L,,,,,,1,2457724500.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,,,False,False,0.916666666666667,True,999,1,True,False,3344000.0,2109019.5,True,False,False,True,1092609.0,0,False,,,,33.3333333333333,,,1757.22543352601,,,,,,
SVT.L,False,True,True,,,1,2303098940.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,False,,True,False,1.66666666666667,True,999,1,True,False,8768900.0,3230124.28,True,False,False,False,822386.41,0,False,,,12.5,36.3636363636364,,,4961.46882426163,,,,,,
LMPL.L,,,,,,1,113131232.7,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,1,,,,False,False,False,True,True,,,,True,0.166666666666667,True,999,1,True,False,7130000.0,3522279.3,True,False,True,False,788375.5,0,False,,,,20.0,,,82126.772406326,,,,,,
ICAG.L,,,,,,1,28592226000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,1,,,,False,False,False,True,False,False,,False,False,1.06666666666667,True,999,1,True,False,5486000.0,4077077.0,True,False,True,True,2240879.0,0,False,,,16.6666666666667,20.0,,,215.086646279307,,,,,,
REL.L,True,True,True,,,1,9721503000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,2.41666666666667,True,999,1,True,False,6443351.0,5400835.0,True,False,True,True,2128406.1777,0,False,,,63.6363636363636,20.0,,,906.237834036568,,,,,,
SMIN.L,,,,,,1,3334822400.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,1,,,,False,False,False,True,False,True,,False,False,2.58333333333333,True,999,1,True,False,12869000.0,2874124.8,True,False,True,False,1611132.8,0,False,,,33.3333333333333,23.0769230769231,,,5050.62794348509,,,,,,
BAB.L,,,,,,1,5831111880.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,True,False,,False,False,1.0,True,999,1,True,False,9731000.0,2565803.9,True,False,True,True,1002083.9,0,False,,,27.2727272727273,0.0,,,2174.62232948959,,,,,,
AZN.L,False,True,True,,,1,26617000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,,False,False,True,False,True,,False,False,2.0,True,999,1,True,False,77356364.8,21120700.0,True,False,True,True,2485751.4,0,False,,,28.5714285714286,30.7692307692308,,,2906.27662020513,,,,,,
HSBA.L,False,True,True,,,1,55203000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,True,False,False,True,,False,,False,False,2.375,True,999,1,True,False,56543300.0,5679764.2,True,False,True,True,7557067.1,0,False,,,21.4285714285714,17.6470588235294,,6.66666666666667,1024.27947756463,,,,,,
CTEC.L,,,,,,1,1894300000.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,1,,,,False,False,False,True,False,,,False,False,1.09090909090909,True,999,1,True,False,32979276.0,3809297.8,True,False,False,True,1203224.0,0,False,,,30.0,26.6666666666667,,,17409.7429129494,,,,,,
WPP.L,,,,,,1,16411428440.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,False,1.82352941176471,True,999,1,True,False,27594000.0,5995610.5,True,False,True,True,2195883.8,0,False,,,84.6153846153846,38.0952380952381,,,2298.96357516579,,,,,,
FRES.L,,,,,,1,2119641000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,True,False,2,,,,False,False,False,True,False,,,False,False,1.64285714285714,True,999,1,True,False,3411000.0,1164000.0,True,False,True,False,695000.0,,False,,,,0.0,,,1609.23477135987,,,,,,
AAF.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWDN.L,,,,,,1,2096553000.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,0,,,,False,False,False,True,False,,,False,False,0.875,True,999,1,True,False,10222000.0,1105516.8,True,False,False,False,783074.4,0,False,,,,15.3846153846154,,,6605.49273021002,,,,,,
SGRO.L,False,True,True,,,1,573451750.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,,True,,False,False,0.727272727272727,True,999,1,True,False,20411000.0,8765524.9,True,False,False,True,836642.9,0,False,,,,25.0,,,47193.063583815,,,,,,
SJP.L,,,,,,1,10903807310.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,0.363636363636364,True,999,1,True,False,5971671.0,1083246.1596,True,False,True,True,1132574.2417,0,False,,,,25.0,,,748.827040515631,,,,,,
TW.L,,,,,,1,3815040460.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,,,False,False,0.5,True,999,1,True,False,2128000.0,1551885.5,True,False,True,False,809441.6,0,False,,,,41.6666666666667,,,762.669342699448,,,,,,
AHT.L,,,,,,1,6363493119.60196,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,0,,,,False,False,False,True,False,,,False,False,1.22222222222222,True,999,1,True,False,4732000.0,4686988.19584,True,False,False,False,862552.0,0,False,,,37.5,0.0,,,936.362197304098,,,,,,
HLMA.L,True,True,False,,,1,1577923790.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,,,False,False,1.09090909090909,True,999,1,True,False,7595000.0,5152457.4,True,False,False,True,742767.0,0,False,,,,33.3333333333333,,,6272.19423569246,,,,,,
III.L,,,,,,1,1480321600.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,,,False,False,0.888888888888889,True,999,1,True,False,11682000.0,10264518.7,True,False,False,False,1158455.9,0,False,,,22.2222222222222,11.1111111111111,,,10283.4507042254,,,,,,
HIK.L,,,,,,1,2203000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,True,1.81818181818182,True,9,1,True,False,34481355.4,4448934.0,True,False,False,True,1052764.6,0,False,,,81.8181818181818,23.0769230769231,,80.0,15651.9997276441,,,,,,
CNA.L,,,,,,1,20439767700.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,5,,,,False,False,False,True,True,True,,False,False,1.66666666666667,True,999,1,True,True,6319000.0,1045984.5,True,False,True,True,1341321.3,0,False,,,,25.0,,,422.703859789953,11.0,,,,,
MNG.L,,,,,,1,40877497000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,,False,False,,False,False,0.75,True,999,1,True,False,5600000.0,4954888.3,True,False,True,False,1221551.67,,False,,,,22.2222222222222,,,181.641258514434,,,,,,
BKGH.L,,,,,,1,2418167680.0,True,True,True,False,False,True,True,False,100,False,False,True,True,False,False,1,,,,False,False,False,True,False,,,False,False,0.25,True,999,1,True,True,14416900.0,10432472.0,True,False,False,True,860159.52,0,False,,,,0.0,,,7507.23807540096,,,,,,
NG.L,True,True,True,,,1,19459192300.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,True,,True,False,1.64285714285714,True,999,3,True,False,9640000.0,6183209.5,True,False,True,True,1772216.0,0,False,,,16.6666666666667,27.2727272727273,,,645.550123886694,,,,,,
RKT.L,True,True,True,,,1,19132628900.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,True,True,False,,,False,False,2.38461538461538,False,9,3,True,False,35000000.0,11532259.409,True,False,True,True,2140832.2001,,False,,,45.4545454545455,9.09090909090909,,77.7777777777778,2501.25062531266,,,,,,
WEIR.L,False,True,True,,,1,2686334310.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,True,,False,False,0.636363636363636,True,999,1,True,False,7600000.0,1226334.1046,True,False,False,False,3008060.0,0,False,,,22.2222222222222,22.2222222222222,,28.5714285714286,3868.27505471573,,,,,,
IMI.L,,,,,,1,2483410000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,False,1.55555555555556,True,999,1,True,False,4726000.0,2532469.0,True,False,False,False,989121.4,0,False,,,37.5,0.0,,,2523.2247730913,,,,,,
MRON.L,,,,,,1,9751583600.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,False,0.5,True,999,1,True,False,9240000.0,929764.0,True,False,False,True,1039148.0,0,False,,,,0.0,,,1295.56926528323,,,,,,
HSX.L,True,True,False,,,1,2911800000.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,0,,,,False,False,False,,,,,False,False,0.333333333333333,True,999,1,True,False,2358856.9799,925738.0764,True,False,False,False,1877868.1923,0,False,,,18.1818181818182,28.5714285714286,,,810.102678721066,,,,,,
CPG.L,False,True,True,,,1,25752510000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,True,,True,False,2.66666666666667,True,9,1,True,False,10816000.0,2026363.5,True,False,True,True,190280.95695,0,False,,,16.6666666666667,38.4615384615385,,,542.427281845537,,,,,,
AUTOA.L,,,,,,1,462730810.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,2,,,,False,False,False,True,False,,,False,False,0.666666666666667,True,999,1,True,False,2567000.0,2488921.0,True,False,False,True,489965.6,0,False,,,,33.3333333333333,,,7228.94959166432,,,,,,
AV.L,,,,,,1,87805075700.0,True,True,True,False,False,True,True,False,100,False,False,True,True,False,False,3,,,,True,False,False,True,False,False,,False,False,1.57142857142857,True,999,1,True,False,28942000.0,3708542.3,True,False,True,True,2065752.2,0,False,,,30.0,40.0,,,437.038491158661,,,,,,
ENT.L,,,,,,1,4744202790.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,5,,,,False,False,True,True,True,True,,False,False,0.4,False,999,3,True,True,14542800.0,6421333.7,True,False,True,True,1119879.0062,0,True,3,,55.5555555555556,0.0,,50.0,4064.391716274,,,,,,
DGE.L,False,True,True,,,1,14571304800.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,True,,,False,False,2.0,True,999,1,True,False,3725000.0,2818292.7,True,False,True,True,1562274.0,0,False,,,50.0,33.3333333333333,,77.7777777777778,316.967324710688,,,,,,
GAW.L,,,,,,1,332917680.0,True,True,False,False,False,True,True,False,100,False,True,True,True,False,False,1,,,,False,False,False,,False,,,False,False,0.428571428571429,True,999,1,True,False,1049000.0,823344.8,False,False,False,False,385132.8,0,False,,,,33.3333333333333,,,3889.50685947349,,,,,,
INF.L,,,,,,1,2270811840.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,1.8,True,999,1,True,True,3264564.0,2019102.8484,True,False,False,True,1142291.6428,0,True,1,,10.0,0.0,,,1965.65751445087,,,,,,
UU.L,,,,,,1,2432723700.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,1.9,True,999,1,True,False,7567000.0,3037050.5,True,False,True,False,1027299.5,0,False,,,,0.0,,,4359.37319967738,,,,,,
PSHP.L,,,,,,1,2359922750.0,True,False,True,True,True,False,False,False,100,False,True,False,True,True,False,5,,,,,False,False,True,,True,True,False,False,1.0,True,999,1,False,False,84075.0,84075.0,False,False,False,False,313880.0,,False,,,16.6666666666667,,,,35.6261661531082,,,,,,
HLN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTB.L,,,,,,1,2656809640.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,,,False,False,1.81818181818182,True,999,1,True,False,11329000.0,3396222.4,True,False,False,True,1122196.4,0,False,,,,22.2222222222222,,,5493.91397119441,,,,,,
PRU.L,True,True,True,,,1,36247000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,True,False,,False,False,1.6,True,999,1,True,False,32231000.0,7768000.0,True,False,False,True,3569000.0,0,False,,,28.5714285714286,11.1111111111111,,,889.204623830938,,,,,,
MKS.L,,,,,,1,13522659630.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,1.0,True,999,1,True,False,2801000.0,1976802.7,True,False,False,True,1342193.0,0,False,,,,0.0,,,269.916066799649,,,,,,
IMB.L,,,,,,1,42053823000.0,True,True,False,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,False,2.25,True,999,1,True,False,10230000.0,2017323.0,True,False,True,True,1511055.0,0,False,,,12.5,12.5,,,314.169891284319,,,,,,
EXPN.L,,,,,,1,4861000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,True,1.75,True,999,1,True,True,21500342.078,13479266.4,True,False,False,False,2518397.122,0,False,,,36.3636363636364,0.0,,,4423.02861098539,,,,,,
GSK.L,False,True,True,,,1,33299224200.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,,,False,False,1.66666666666667,True,999,1,True,False,20261000.0,15339738.7,True,False,True,True,2964306.4,0,False,,,58.3333333333333,37.5,,,831.937258766527,16.7,11.8,1.8,,83.4,3
LAND.L,,,,,,1,986446700.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,,,False,False,0.666666666666667,True,999,1,True,False,7190000.0,2116234.4,True,False,False,True,1055511.0,0,False,,,,33.3333333333333,,,9498.01849405548,,,,,,
BEZG.L,,,,,,1,2636500000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,0.428571428571429,True,999,1,True,True,17137000.0,2908661.3034,True,False,False,False,1102110.0,0,False,,,9.09090909090909,33.3333333333333,,,6499.90517731841,,,,,,
BP.L,True,True,True,,,1,105944000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,5,,,,False,False,False,True,True,True,True,False,False,1.93333333333333,True,999,1,True,False,59496500.0,2372265.5,True,False,True,True,2802965.0,0,False,,,54.5454545454545,28.5714285714286,,41.6666666666667,561.584421958771,8.0,,,,,
JD.L,,,,,,1,4463896800.0,True,True,True,False,False,True,True,False,100,False,True,True,False,True,False,3,,,,False,False,True,True,True,,,,False,1.0,False,999,3,True,False,3000000.0,3251836.0,True,False,False,True,282400.0,0,False,,,,0.0,,,948.946669197191,,,,,,
