Instrument,Biodiversity Targets,Targets Pollution,Cost of Pollution and Waste,Policy Waste,Commitment to Align Disclosures with TCFD Recommendations,Scope 1 Estimated Date,Emission Controversies Count,Fossil Fuel Debt Finance count,Climate Risk Insurance Count,Wastewater Management Controversies Count,Low Carbon Transition Controversies Count,Pollution Controversies Count,Total Waste To EVIC USD in million,Water Pollutant Emissions To EVIC USD in million,Ozone-Depleting Substances To EVIC USD in million,SOx Emissions To EVIC USD in million,Biodiversity Due Diligence,Biodiversity Risk Assessment,Biodiversity Commitment,Targets Waste,Policy Pollution,Facilities Water Discharge,Reporting Against the TCFD Recommendations,Scope 2 Estimated Date,Recent Emission Controversies Count,Recent Fossil Fuel Debt Finance Count,Recent Climate Risk Insurance Count,Recent Wastewater Management Controversies Count,Recent Pollution Controversies Count,Total Hazardous Waste To EVIC USD in million,Flaring Gases To EVIC USD in million,NOx Emissions To EVIC USD in million,VOC Emissions To EVIC USD in million,Accidental Spills To EVIC USD in million,"GHG Emissions Direct, Scope 1 - 5 year CAGR","GHG Emissions Indirect, Scope 2 - 5 year CAGR",CO2 Estimation Method,Ozone-Depleting Substances,NOx Emissions,VOC or Particulate Matter Emissions Reduction,Particulate Matter Emissions Reduction,Total Hazardous Waste To Revenues USD in million,Non-Hazardous Waste,TRWASTERECYCLINGRATIO,TRWASTEREDUCTIONINITIATIVES,Water Pollutant Emissions To Revenues USD in million,TRWATERPOLLUTANTEMISSIONS,"GHG Emissions Direct, Scope 1 - 3 year CAGR","GHG Emissions Indirect, Scope 2 - 3 year CAGR",Total CO2 Equivalent Emissions To Million Revenues USD YoY,Estimated CO2 Equivalents Emission Total,Flaring Gases,NOx and SOx Emissions Reduction,SOx Emissions,TRVOCEMISSIONSREDUCTION,TRVOCEMISSIONS,Waste Recycled To Total Waste,TRWASTETOTAL,TRWASTERECYCLEDTOTAL,Hazardous Waste,e-Waste Reduction,TRWATERDISCHARGED,ISO 14000 or EMS,EMS Certified Percent,Staff Transportation Impact Reduction,Environmental Expenditures Investments,Environmental Provisions,Self-Reported Environmental Fines,Flaring Gases To Revenues USD in million,NOx Emissions To Revenues USD in million,VOC Emissions To Revenues USD in million,Self-Reported Environmental Fines To Revenues in million,Environmental Restoration Initiatives,Accidental Spills,Environmental Expenditures,Environmental Investments Initiatives,Environmental Partnerships,Ozone-Depleting Substances To Revenues USD in million,SOx Emissions To Revenues USD in million,Accidental Spills To Revenues USD in million,Policy Nuclear Safety
STAN.L,,,,,,,,,,,,,0.02768206200517,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,117858.0,,0,,,,0.23,,,,0,,No,,0,0,,,,,,,0,,,0,1,,,,0
CCEPC.L,,,,,,,,,,,,,3.90682053339193,,,,,,,,,,,,,,,,,0.033071317014122,,,,,,,Reported,,,,0,0.074678623956531,117836.0,,,,,,,,399860.0,,0,,,,0.992002322411269,,,1006,0,,ISO 14000,100.0,0,1,,0,,,,0.0,1,,,1,1,,,,0
CRDA.L,,,,,1,,,,,,,,6.28809588125571,,,,,,,,,,0,,,,,,,0.83551552439716,,,0.014430021143574,,,,Reported,,,1,0,4.38880671334473,52319.0,,,,,,,,152026.0,,0,,,,0.273667462211615,,,8017,0,,ISO 14000,100.0,1,1,8100000,246000,,,0.075798201014059,178.558467010234,0,,500000.0,1,1,,,,0
ANTO.L,0,0,0,1,1,,,,,,,,18509.5123815234,,,,0,1,1,0,1,0,1,,,,,,,3647.13121456615,,,,,,,Reported,,,1,1,18133.3716101612,379030073.0,,,,,,,,2435010.0,,0,,,,5.6266230244e-05,,,93011503,1,,No,,0,1,520200000,,,,,,1,,22200000.0,0,1,,,,0
EZJ.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,0,1,0,0,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,4248135.0,,1,,,,,,,,0,,No,,0,0,,,,,,,0,,,0,1,,,,0
BNZL.L,0,0,0,1,1,,,,,,,,1.85665506491669,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,128787.0,,0,,,,0.63,,,,0,,ISO 14000,23.0,1,0,,,,,,,0,,,0,1,,,,0
SGE.L,,,,,1,,,,,,,,0.05841264297564,,,,,,,,,,0,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,10092.0,,0,,,,,,,,0,,No,,1,,,,,,,,0,,,0,0,,,,0
SVT.L,1,1,0,1,0,,,,,,,,,,,,1,0,1,0,1,0,0,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,350086.0,,0,,,,,,,,0,,ISO 14000,,0,0,,,,,,,0,,,0,1,,,,0
LMPL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,297.0,,0,,,,,,,,0,,No,,1,0,,,,,,,0,,,0,0,,,,0
ICAG.L,,,,,,,,,,,,,1.85633768057158,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,30814600.0,,1,,,,0.21,,,,0,,ISO 14000,,1,1,1416000000,,,,,,0,,224000000.0,1,1,,,,0
REL.L,0,0,0,1,1,,,,,,,,0.04585281670208,,,,0,0,0,1,0,0,0,,,,,,,,,,,,,,Reported,,,,0,0.0,2618.0,,,,,,,,58957.0,,0,,,,0.91,,,0,1,,ISO 14000,55.0,1,,,,,,,,1,,,0,1,,,,0
SMIN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,71628.0,,0,,,,,,,,0,,ISO 14000,,0,0,,,,,,,0,,,0,1,,,,0
BAB.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,249516.0,,0,,,,,,,,0,,ISO 14000,,0,0,,,,,,,0,,,0,0,,,,0
AZN.L,0,0,0,0,1,,,,,,,,0.202775493938067,0.002818612952015,,,0,0,0,1,0,0,1,,,,,,,0.07039946835757,,,0.001172226881913,,,,Reported,,,1,0,0.401623022880114,20101.0,,,0.016079948904835,,,,,468186.0,,0,,,,0.395667565197623,,,10690,0,,ISO 14000,15.38462,1,1,100000000,0,,,0.006687455385656,0.0,0,,19000000.0,1,1,,,,0
HSBA.L,0,0,0,0,1,,,,,,,,0.031232079690711,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,486000.0,,0,,,,0.588235294117647,,,,1,,No,,1,1,,,,,,,1,,,1,1,,,,0
CTEC.L,,,,,,,,,,,,,2.75912700627803,,,,,,,,,,,,,,,,,0.771870596170564,,,,,,,Reported,,,,0,2.85540833025392,13926.0,,,,,,,,32777.0,,0,,,,0.45769847426946,,,5409,0,,ISO 14000,,0,0,,,,,,,1,,,0,0,,,,0
WPP.L,,,,,1,,,,,,,,0.091393637984275,,,,,,,,,,1,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,83634.0,,0,,,,0.6898,,,,1,,ISO 14000,,1,,,,,,,,0,,,0,1,,,,0
FRES.L,,,,,1,,,,,,,,26437.240036564,,,,,,,,,,0,,,,,,,2139.29056132058,,,,,,,Reported,,,0,0,7316.4059385528,176140796.0,,,,,,,,861726.0,,0,,,,,,,15508154,0,,ISO 14000,71.42857,0,0,231056000,0,,,,0.0,0,,,0,1,,,,0
