Instrument,Board Conflicts of Interest,Board Effectiveness Review,Board Oversight of Health and Safety,Board Related Party Transactions,Chief Legal Officer Report to Board,Code of Conduct Non-Compliance,Code of Conduct Oversight,Compliance Head Report to Board,C-Suite Risk Oversight,Chairperson Independent,Lead Independent Director,Bonus Cap Senior Executives,CEO Claw-Back,Executive Claw-Back,Executive Compensation Risk,Code of Conduct Claims,Targets Board Diversity Percent,Bonus Cap High Paid Staff,Bonus Cap Senior Executives Percent,Targets Board Diversity - Target Set Year,Targets Board Diversity - Target Year,Median Salary Gap,Current CEO Chairman Duality,Board Functions Policy,Corporate Governance Board Committee,Nomination Board Committee,Audit Board Committee,Compensation Board Committee,Board Structure Policy,Policy Board Size,Policy Board Independence,Policy Board Diversity,Policy Board Experience,Policy Executive Compensation Performance,Policy Executive Compensation ESG Performance,Policy Executive Retention,Compensation Improvement Tools,Internal Audit Department Reporting,Succession Plan,External Consultants,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee Expertise,Audit Committee NonExecutive Members,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Nomination Committee Independence,Nomination Committee Mgt Independence,Nomination Committee Involvement,Nomination Committee NonExecutive Members,Board Attendance,Number of Board Meetings,Board Meeting Attendance Average,Committee Meetings Attendance Average,Board Size More Ten Less Eight,Board Size,Board Background and Skills,"Board Gender Diversity, Percent","Board Specific Skills, Percent",Average Board Tenure,Non-Executive Board Members,Independent Board Members,Strictly Independent Board Members,CEO Chairman Duality,CEO Board Member,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
STAN.L,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,,,100,270,,,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,8,100.0,98.65,2,12,True,41.6666666666667,75.0,4.90625,81.25,75.0,,False,True,False,1.5625,True,999,1,True,False,105576575.7,13331721.6,True,False,True,True,4520224.3,0,False,,,41.6666666666667,33.3333333333333,,69.2307692307692,5024.10658132673,33.0,33.3,0.0,,66.7,0.0
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTO.L,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,,,,200,,,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,66.6666666666667,True,True,100.0,83.3333333333333,True,100.0,100.0,True,0.0,100.0,True,9,93.94,96.85,1,11,True,45.4545454545455,27.2727272727273,11.25,100.0,54.5454545454545,54.5454545454545,False,False,False,0.818181818181818,True,999,1,True,False,20289000.0,5434000.0,True,False,True,False,5111000.0,0,False,,,36.3636363636364,17.6470588235294,,,3067.86221913086,,,,,,
EZJ.L,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,354.0,40,,200,2023,2025,74.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,8,100.0,98.81,0,10,True,40.0,70.0,3.375,80.0,80.0,80.0,False,True,False,2.4,True,999,1,True,False,16100000.0,3851897.0,True,False,True,True,1203300.0,0,False,,,40.0,20.0,,12.5,1729.50907723708,10.0,,,,,
BNZL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGE.L,True,True,False,True,False,True,False,True,True,True,False,True,True,True,False,,40,,175,2022,2025,73.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,83.3333,False,True,83.3333333333333,71.4285714285714,False,71.4285714285714,83.3333333333333,True,0.0,83.3333333333333,True,5,100.0,100.0,0,10,True,40.0,45.4545454545455,5.84090909090909,81.8181818181818,81.8181818181818,72.7272727272727,False,True,False,0.727272727272727,True,999,1,True,False,18959000.0,6132819.0,True,False,True,True,1391817.0,0,False,,,20.0,40.0,,,8129.93138936535,20.0,20.0,,,80.0,
SVT.L,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,,,,120,,,71.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,88.8889,True,0.0,88.8889,True,8,100.0,100.0,0,9,True,55.5555555555556,80.0,5.1,80.0,80.0,80.0,False,True,False,1.4,True,999,1,True,False,10132200.0,3958029.69,True,False,True,True,946927.74,0,False,,,11.1111111111111,45.4545454545455,,,4679.78384370237,22.0,,,,,
LMPL.L,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,,,,,,,,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,83.3333,False,85.7143,100.0,True,0.0,100.0,False,6,100.0,100.0,1,11,True,36.3636363636364,45.4545454545455,6.5,81.8181818181818,63.6363636363636,63.6363636363636,True,True,True,0.454545454545454,True,999,1,True,False,8970000.0,2952520.2,True,False,True,False,776979.0,0,False,,,,20.0,,,61145.1942740286,,,,,,
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
