Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
STAN.L,False,True,True,,,1,17577000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,,False,False,True,False,,,False,False,1.6875,True,999,1,True,False,64372975.8,7751757.6,True,False,True,True,4267821.6,0,True,1,,21.4285714285714,42.8571428571429,,8.33333333333333,3662.34145758662,21.0,21.4,0.0,,78.6,0.0
CCEPC.L,,,,,,1,15645778400.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,,,False,False,0.833333333333333,True,999,1,True,False,31858800.0,10379450.088,True,False,True,True,3016964.888,0,False,,,35.2941176470588,20.0,,,2314.81508392066,11.76,,,,,
CRDA.L,,,,,,1,2556439840.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,True,,False,False,1.0,True,999,1,True,False,14121600.0,5989667.112,True,False,True,True,917746.4795,0,False,,,11.1111111111111,20.0,,,7473.32768839966,,,,,,
ANTO.L,False,True,True,,,1,5862000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,True,False,4,,,,True,False,False,True,False,True,,False,False,0.7,True,999,1,True,False,4808000.0,4808000.0,True,False,True,False,4611000.0,0,False,,,40.0,12.5,,,820.197884680996,,,,,,
EZJ.L,True,True,True,,,1,6438204000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,0,,,,False,False,False,True,False,,,False,False,1.92307692307692,True,999,1,True,False,9200000.0,3302244.0,True,False,True,True,892800.0,0,False,,,50.0,33.3333333333333,,14.2857142857143,1594.7304558849,9.1,,,,,
BNZL.L,False,True,True,,,1,13914711790.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,False,,True,False,2.25,True,999,1,True,False,9305600.0,5509549.96,True,False,True,True,1074743.76,0,False,,,25.0,18.1818181818182,,,904.765145696201,,,,,,
SGE.L,False,True,True,,,1,2172852000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,,,False,False,0.4,True,999,1,True,False,14115000.0,2816784.0,True,False,True,True,987660.0,0,False,,,11.1111111111111,40.0,,,7249.61479198767,11.0,11.0,,,89.0,
SVT.L,False,True,True,,,1,2517698880.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,False,,True,False,1.77777777777778,True,999,1,True,False,12182300.0,3868867.62,True,False,True,True,988918.83,0,False,,,11.1111111111111,33.3333333333333,,,6667.19570928196,11.0,,,,,
LMPL.L,,,,,,1,168379380.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,1,,,,False,False,False,True,True,,,,True,0.222222222222222,True,999,1,True,False,10690000.0,4001421.6,True,False,True,False,702729.0,0,False,,,,20.0,,,87479.5417348609,,,,,,
ICAG.L,,,,,,1,9605960000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,1,,,,False,False,False,True,False,False,,False,False,1.38461538461538,True,999,1,True,False,13075000.0,1727936.0,True,False,True,True,1960980.0,0,False,,,,23.5294117647059,,6.25,1547.33727810651,,,,,,
