Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
STAN.L,A,B-,84.5623627962049,53.7395147314358,22.9166666666667,A-,A+,B+,81.8367979075278,92.470608756323,74.1798047346858,B+,A-,B+,A-,A+,A-,B+,A+,A-,A+,69.078104993598,78.448275862069,74.3881118881119,82.0473251028807,92.8929765886288,80.5041152263374,71.1334745762712,95.5259026687598,81.7111459968603,93.3333333333333
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTO.L,A-,A-,76.5279236532301,76.5279236532301,100.0,A,B,A-,86.1486379812241,61.5548578405721,75.9738194653239,A,A-,D-,A+,A,A+,D+,B,C-,A+,88.9210019267823,78.3396946564885,0.0,95.9532374100719,88.4199134199134,98.1115107913669,20.3155818540434,66.0125588697017,25.5102040816327,93.3333333333333
EZJ.L,B+,C+,72.81246680033,43.4714507914693,14.1304347826087,A-,A-,B-,82.1868513015316,80.2964863243609,53.4622879763705,D+,A,C+,A-,A,B+,A,A+,C+,B,20.2970297029703,90.7766990291262,50.0,83.1730769230769,91.5789473684211,69.7115384615385,83.9805825242718,93.4850863422292,49.2150706436421,60.9756097560976
BNZL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGE.L,B-,B-,57.7610173815936,57.7610173815936,100.0,A-,C+,C+,75.3938377613321,45.2816683896823,48.7461221905666,A+,A-,D-,A+,A,A,C-,C+,D,A-,93.7692307692308,78.7037037037037,0.0,97.9016786570743,91.0833333333333,90.4676258992806,32.4691358024691,48.116169544741,13.5007849293564,78.780487804878
SVT.L,B+,B+,71.8881770183137,71.8881770183137,100.0,A-,A-,B,76.8409858392881,80.6271917597171,63.235294117647,A-,A,D,A+,B-,A+,D,A+,C-,A+,80.7692307692308,85.8974358974359,15.0,93.5897435897436,54.1666666666667,93.5897435897436,14.4736842105263,94.3498452012384,26.3931888544892,93.3649289099526
LMPL.L,C+,C+,43.6002898487714,43.6002898487714,100.0,C+,D+,B-,49.7995397174182,21.4391149325782,57.6066625016929,B-,B-,A-,B+,D,D,A-,C-,D,D,56.1007957559682,53.7783375314861,77.9863481228669,74.3811881188119,12.0915032679739,16.2128712871287,76.4631043256997,25.9287925696594,11.9195046439628,13.2701421800948
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REL.L,A-,B,81.915435264439,66.5637782382801,51.2121212121212,A-,A,A-,77.0137031593363,87.4428405508545,77.5605375743668,A+,A+,B-,A+,A,A+,C-,A+,B,A-,99.0,94.9430199430199,52.7896995708155,95.7434052757794,91.0833333333333,95.6235011990408,32.4691358024691,97.2527472527472,60.5180533751962,78.780487804878
