Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
STAN.L,,,,,,,,,,,83601,,True,True,True,True,True,True,True,True,True,True,False,False,False,False,,64.9680559874161,,-0.866812123511829,83601,,9.7,0.0,0,False,False,45.41692,43.26478,29.457,100,True,True,,,0.132,0.132,,,23,,,,1,,,,,,,,,True,31.8,2658511.8,47401767.0,567.0,False,True,False,False,,,,,,,False,,70.0,7.2,2.5,,,,,,,,,,,,,,,
CCEPC.L,,,,,,,,,,,23300,,False,True,True,True,True,True,True,True,True,True,True,False,False,True,,121.98411744777,,-0.04290004290004,23357,84.5,14.4,0.0,,False,False,25.1,9.5,35.5,100,True,False,,,,,,,,,,,0,,,,,5.15,,,,False,14.4,336340.8,,,False,True,False,False,,,,,,,True,,,5.0,9.4,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,4580,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,,30.6593443659353,280100000,0.0,4580,40.0,10.76,0.0,,False,False,33.4,,33.486,,True,False,,,2.75,2.75,0.89065,3.14,,,29,,0,0,,1.1,0.8,1.1,,,,False,18.4,85000.0,,,False,True,True,False,,,,,,,False,,72.94,,,100.0,,,,,,,,,,,,,,
ANTO.L,True,True,True,False,False,False,False,False,True,71.0,5819,,True,True,True,False,True,True,True,True,True,True,True,False,False,False,,50.5219479947113,456000000,1.74855744011191,6760,76.0,10.0,0.0,,False,True,14.7,,20.0,,True,False,0.9,,3.14,3.14,2.98,3.6,169,119,50,0.0,0,0,,0.86,0.83,0.93,,,,False,29.0,194264.0,1208000.0,207.595806839663,True,True,True,True,1,,,,,,False,,,2.0,8.0,,,,,,,,,,,,,,,
EZJ.L,False,False,False,False,False,False,False,False,False,,14566,,False,True,True,False,True,True,True,True,False,True,True,False,False,True,,12.7579234338747,,-1.25415226086367,14000,,,0.0,0,True,True,58.1,,,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
BNZL.L,False,False,True,True,True,True,True,True,False,,18984,,False,True,True,False,True,True,True,True,False,True,True,False,False,False,,59.3222842755779,,0.73225087551736,18984,,15.4,0.0,,False,False,36.0,,14.0,,False,False,,,,,,,,,,,0,,0.0014928,5.76,,5.76,7084.8288,7084.829,,False,,,,,False,True,False,False,,,,,,,False,,83.4,15.4,,,,,,,,,,,,,,,,
SGE.L,,,,,,,,,,,12506,,False,True,True,True,True,True,True,True,False,False,True,False,False,False,,22.006786637931,,-1.95217561740494,11493,,22.0,0.0,,False,False,44.0,,33.0,,True,False,,,1.91067,1.91067,,,45,,,,,,,,,,,,,False,28.0,326984.0,,,True,True,False,False,,,,,,,False,,,7.2,14.8,,,,,,,,,,,,,,,
SVT.L,False,False,True,False,True,True,False,True,False,3.39,6580,,False,True,True,True,True,True,True,True,False,False,True,True,False,True,,52.7165610859728,,5.02793296089386,,,6.5,0.0,,False,False,29.5,31.25,37.5,15,True,True,,,,,,,,,,,0,0,,,,3.0,,,,False,18.075,118936.0,,,True,True,True,False,,,,,,,True,,97.2,6.5,,,,,,,,,,,,,,,,
LMPL.L,,,,,,,,,,,34,,False,True,True,True,True,True,True,True,False,True,True,False,True,False,,8.83673076923077,,-5.55555555555556,24,,5.0,0.0,,False,False,42.857,,25.0,,True,True,,,0.0,,,0.0,,,0,,0,,0.0,,,0.0,,0.0,,False,33.333,800.0,,,True,True,False,False,,,,,,,False,,,5.0,,,,,,,,,,,,,,,,
ICAG.L,,,,,,,,,,,64642,,True,True,True,True,True,True,True,True,True,True,False,True,False,False,,47.3806839983877,,1.74875257748186,72268,87.0,9.0,0.0,,False,True,44.0,,30.0,,False,False,1.1,,,,,,,,,0.035,0,,0.0002024872374,21.705,,21.705,3272.295,3272.295,,False,48.4,3497771.2,,,False,True,True,True,2,,,,,,False,,,7.0,2.0,,,,,,,,,,,,,,,
