Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
STAN.L,False,True,True,False,True,False,True,False,,,,True,True,True,True,True,True,False,False,2628.4348864994,46200000,0.0,,True,True,True,False,False,,True,False,,,,,1,,,,,,,,,,,
CCEPC.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,793.340696069171,10918748,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ANTO.L,True,True,True,False,True,True,True,False,,,,False,True,True,True,True,False,True,True,9689.52575912658,56800000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EZJ.L,False,False,False,False,False,False,False,False,,,,True,True,True,True,True,False,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BNZL.L,True,True,False,True,True,True,True,False,,,,False,True,True,True,False,True,False,False,123.576824727032,1271000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SGE.L,True,False,False,False,False,True,True,False,0,,,True,True,True,True,True,True,False,False,490.789419619928,955567,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SVT.L,False,False,True,True,True,True,True,False,0,,,True,True,True,True,True,True,False,False,3785.03393169877,6916014,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
LMPL.L,,,,,,,,,,,,False,False,False,True,False,,False,False,935.88379705401,114365,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ICAG.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,54.3195266272189,459000,0.0,,True,False,False,False,True,,True,True,,,,1,,,,,,,,,,,,
REL.L,False,False,True,False,True,False,True,False,,,,True,True,True,True,True,True,True,False,1438.0918975798,12300000,142047.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SMIN.L,True,True,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,,,8000.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BAB.L,,,,,,,,,,,,False,True,True,True,False,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
AZN.L,True,True,False,False,True,True,True,True,,,,True,True,True,True,True,True,False,False,72337.9654799215,3208261107,1860000.0,,True,True,True,True,True,3,True,True,,1,,1,,,,,,,,,,,,
HSBA.L,True,True,True,True,True,True,True,False,,,,False,True,True,True,False,True,True,False,1931.24886324179,116800000,100250.0,,True,True,False,False,True,,True,False,,1,,,2,,,,,,,,,,,
CTEC.L,True,False,True,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,337.756332931242,700000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
WPP.L,True,False,True,True,True,True,True,False,,,,False,True,True,True,False,True,False,False,2460.37411547818,35500000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
FRES.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1161.62924050165,3140000,0.0,,False,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AAF.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1531.00280683848,6000000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HWDN.L,False,False,False,False,False,False,True,False,,,,False,False,False,True,False,,False,False,560.586459680897,1300000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SGRO.L,True,True,True,False,True,True,True,False,0,,,False,True,True,True,False,True,False,False,2401.07875457875,1310989,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SJP.L,True,True,True,False,True,True,True,False,,,,False,True,False,True,False,True,False,False,,10100000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
TW.L,True,True,True,False,True,True,True,False,,,,False,True,True,True,True,True,False,False,215.345822303672,951807,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
AHT.L,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,False,False,False,211.765444657951,1686140,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HLMA.L,True,True,True,False,True,True,True,False,0,,,False,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
III.L,,,,,,,,,,,,False,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HIK.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1548.00274187231,3952051,0.0,,True,False,False,False,False,,True,False,,,,,,SD,,,,,,,,,,
CNA.L,True,True,False,True,True,False,True,False,,,,True,True,True,True,True,True,False,False,133.781252787109,4500000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
