Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
POOL.OQ,False,True,False,False,False,False,False,False,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,47.9912226995534,18.3058888136457,,,True,True,False,True,True,True,False,False,False,False,102.455507435846,,,633147.0656,633147.0656,145117.0656,,,,,True,False,39.0808781682427,241509.158,241509.158,,False,,False,False,False,,,,,,
CHRW.OQ,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,23.5019851490888,,,,False,False,False,False,False,False,False,False,False,False,12.2329265638523,0.206923260247855,,302112.0,302112.0,112802.4,,,62514.0,,True,False,,,,,False,,False,False,False,,,62514.0,206923.260247855,,
AJG.N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,True,False,False,,,,,,,,,,,True,False,,,,,False,,False,False,False,,,,,,
CNP.N,False,False,False,False,True,True,False,False,False,True,False,False,True,False,,,,,,,,,,,,,,,398919.6,,,,,False,False,,,,,,,,,,,,,,4940.04974613249,,,True,True,False,False,False,False,True,True,False,False,,,0.067022462935833,,1480492.8,837554.4,,,837554.4,434235.6,True,False,19358.3455069199,180439138.47,180439138.47,,False,,False,False,False,,,1271790.0,,,
AMCR.N,False,True,True,False,True,True,False,False,True,False,True,False,False,False,,,,797110.0,12.00819,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,869.181021675642,308.818431228594,,,True,True,True,True,True,False,True,True,True,False,1271.47502381925,0.057945665628328,,18683054.0,18683054.0,,,,1082602.0,,True,False,451.752756227031,6638055.0,6638055.0,,True,True,True,False,False,,,1082602.0,57945.6656283282,,
WM.N,False,True,False,False,False,True,False,False,True,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,409.832633597743,42.4461866757836,,,True,True,False,True,True,True,True,True,True,False,1651.86908315565,0.224560066922779,,32538517.2,32538517.2,2965366.8,,,7306851.6,,True,True,171.083358716621,3370000.0,3370000.0,,True,True,False,False,False,,,7306851.6,224560.066922779,,
BA.N,True,True,False,False,False,False,False,True,True,False,True,False,False,False,,,13.0,584970.0,13.0,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,106.228224917446,26.9924918136508,,,True,True,False,True,True,True,True,False,False,False,272.021378813356,0.144844029405921,,18118800.0,18118800.0,7452000.0,,,2624400.0,,True,True,69.1203759308191,4603970.0,4547880.0,48850.0,True,,False,True,True,1,,2624400.0,144844.029405921,,
FOX.OQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,2592.0,,,,,False,False,,,,,,,,,,,,,32.399194472512,6.03753105083579,,,True,True,False,True,False,False,True,True,False,False,52.4683162341581,1.8403496664e-05,,782460.0,779832.0,549792.0,2592.0,,14.4,2592.0,True,True,9.77737544424328,145810.0,,,False,,False,False,False,,,2606.4,3331.03289625029,,
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY.N,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2436000.0,,,,,,,,,,,21440929.32,,,,,,,,False,False,,,,,,,,,,,,,1046.98243007382,79.9970187777669,,,True,True,False,True,True,False,False,True,True,True,4154.52216314829,,,31881803.08,10440873.76,4568409.8,21440929.32,,,21440929.32,True,False,317.435496481626,2436000.0,2436000.0,,True,True,True,False,False,,,21440929.32,672513.071679132,,
