Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
POOL.OQ,,,,,,1,3199520000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,3,,,,True,False,False,False,True,True,,False,False,0.444444444444444,True,999,1,True,False,9143113.0,3290220.0,True,False,True,True,1482266.0,1,False,,,,28.5714285714286,,,2857.65146021903,,,,,,
CHRW.OQ,,,,,,1,15309508000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,False,,,True,False,False,True,True,True,True,False,True,0.8,True,999,1,True,False,11594259.0,5065928.0,True,False,False,True,2123562.0,0,False,,,,8.33333333333333,,,757.324075992514,,,,,,
AJG.N,,,,,,1,7195000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,True,,,True,False,False,True,True,True,True,False,True,0.111111111111111,True,999,1,True,False,24202788.0,8960616.0,True,False,False,True,2140704.0,1,False,,,,9.09090909090909,,,3363.83432939541,,,,,,
CNP.N,,,,,,1,7564000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,True,True,True,True,,False,0.5,True,999,1,True,False,19299326.0,7724122.0,True,False,False,True,2124648.0,0,False,,,10.0,30.0,,,2551.47091485986,,,,,,
AMCR.N,,,,,,1,12467500000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,2,,,,False,False,True,,,False,,,False,2.41666666666667,False,999,1,True,False,40000521.0,15165839.0,True,False,True,True,2738805.0,0,False,,,30.0,15.3846153846154,,,3208.38347704031,,,,,,
WM.N,,,,,,1,15455000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,,,,True,False,False,False,True,True,True,False,False,1.11111111111111,True,999,1,True,False,24951885.0,11298101.0,True,False,False,True,2222583.0,,False,,,11.1111111111111,40.0,,,1614.4862504044,,,,,,
BA.N,False,True,True,,,1,84818000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,True,False,False,False,True,True,True,False,True,1.13333333333333,True,999,1,True,False,53075925.0,18429318.0,True,False,False,True,4662230.0,,True,1,,,23.5294117647059,,,625.762515032187,,,,,,
FOX.OQ,,,,,,1,12303000000,True,False,True,True,True,False,False,False,100.0,False,True,True,True,False,False,7,True,,,False,False,False,True,True,True,,False,True,1.0,True,999,1,True,False,95215260.0,33983126.0,True,False,False,True,1659930.0,,False,,,14.2857142857143,15.3846153846154,,9.09090909090909,7739.19044135577,,,,,,
TKO.N,,,,,,1,930160000,True,False,True,True,True,False,False,False,100.0,True,False,True,True,True,False,6,,,,True,False,False,,True,True,True,False,True,0.0,True,999,1,True,False,53215667.0,9188590.0,True,False,False,True,1106742.0,,False,,,,25.0,,,57211.3045067515,,,,,,
WY.N,,,,,,1,7532000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,False,False,False,False,True,True,True,False,False,1.0,True,999,1,True,False,27570235.0,11159100.0,True,False,False,True,2389118.0,1,False,,,8.33333333333333,25.0,,,3660.41356877323,,,,,,
MCD.N,False,True,False,,,1,21364400000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,,,,True,False,True,False,True,True,True,False,False,1.35714285714286,False,999,1,True,False,36143342.0,17432406.0,True,False,False,True,3778311.0,1,False,,,8.33333333333333,25.0,,,1691.75553724888,,,,,,
HD.N,False,True,True,,,1,108203000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,2,,,,False,False,False,False,True,True,,,True,1.4,True,999,1,True,False,29797352.0,11366662.0,True,False,False,True,3897500.0,,False,,,,33.3333333333333,,,275.383787880188,,,,,,
SPG.N,False,True,True,,,1,5755189000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,,,,True,False,False,False,True,True,True,False,True,0.538461538461538,True,999,1,True,False,20955196.0,10439378.0,True,False,False,True,3155531.0,0,False,,,,0.0,,,3641.09606131093,,,,,,
HBAN.OQ,,,,,,1,4667000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,True,True,True,True,False,True,0.733333333333333,True,999,1,True,False,20210130.0,7488685.0,True,False,True,True,3174352.0,0,False,,,,33.3333333333333,,,4330.4328262267,,,,,,
LVS.N,,,,,,1,2940000000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,False,False,7,,,,True,False,True,True,True,True,True,False,True,0.363636363636364,False,999,1,True,True,19334900.0,11344700.0,True,True,False,True,2288470.0,5,False,,,,0.0,,,6576.49659863946,,,,,,
CTRA.N,,,,,,1,2066277000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,False,,,True,False,False,False,True,True,True,False,True,1.0,True,999,1,True,False,27693139.0,13830926.0,True,False,False,True,2743880.0,0,False,,,,8.33333333333333,,,13402.4329748625,,,,,,
ON.OQ,,,,,,1,5517900000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,,,,True,False,False,True,True,True,True,False,False,2.0,True,999,1,True,False,20413651.0,8894933.0,True,False,False,True,2816331.0,0,False,,,,0.0,,,3699.53261204444,,,,,,
AIG.N,,,,,,1,49920000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,False,,,True,False,False,False,True,True,True,False,False,1.13333333333333,True,999,1,True,False,64353553.0,19369637.0,True,False,False,True,3987055.0,0,False,,,,30.7692307692308,,8.33333333333333,1289.13367387821,,,,,,
AIZ.N,,,,,,1,10089400000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,,,,True,False,False,True,True,True,True,False,False,0.625,True,999,1,True,False,24874729.0,10155682.0,True,True,False,True,2965117.0,3,False,,,,33.3333333333333,,,2465.43193847008,,,,,,
CARR.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVRG.OQ,,,,,,1,5147800000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,False,0.6,True,999,1,True,False,14095094.0,5793976.0,True,False,False,True,3286182.0,,False,,,,18.1818181818182,,,2738.08112203271,,,,,,
SMCI.OQ,,,,,,1,3500360000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,False,False,8,,,,True,False,True,True,False,True,True,False,True,0.444444444444444,False,999,3,True,False,2835177.0,831529.0,True,False,False,True,788753.0,1,False,,,,14.2857142857143,,,809.967260510348,,,,,,
COST.OQ,False,True,True,,,1,166761000000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,False,False,7,,,,True,False,True,True,True,True,True,False,False,1.18181818181818,False,999,1,True,False,26804741.0,8279552.0,True,True,False,True,2653764.0,3,False,,,,0.0,True,,160.737468592777,10.0,,,,90.0,10.0
MCO.N,,,,,,1,4829000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,False,,,True,False,True,True,True,True,,False,False,1.1,False,999,1,True,False,31186220.0,13751632.0,True,False,True,True,2770023.0,1,False,,,10.0,25.0,,,6458.11141022986,,,,,,
DIS.N,False,True,True,,,1,69607000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,,,,True,False,False,True,True,True,True,False,True,1.16666666666667,True,15,1,True,False,92795450.0,47517762.0,True,False,False,True,3328950.0,0,False,,,,60.0,,,1333.1338802132,,,,,,
LULU.OQ,False,True,True,,,1,3288319000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,,,,True,False,True,False,True,True,True,False,False,0.4,False,999,3,True,False,36192068.0,17030258.0,True,False,False,True,1679100.0,1,False,,,,42.8571428571429,,,11006.2521306479,,,,,,
PAYX.OQ,,,,,,1,4040500000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,False,False,False,False,True,True,True,False,True,1.44444444444444,True,999,1,True,False,16140610.0,8068717.0,True,False,False,True,1994091.0,1,False,,,,22.2222222222222,,,3994.70610073011,,,,,,
WSM.N,,,,,,1,5671593000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,,,,True,False,False,False,True,True,True,,False,1.55555555555556,True,999,1,True,False,45286105.0,27254166.0,True,False,False,True,2696657.0,1,False,,,,57.1428571428571,,,7984.72404490238,,,,,,
AMD.OQ,False,True,False,,,1,6731000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,,,,True,False,False,True,True,True,True,False,False,1.1,True,999,1,True,False,103912380.0,58534288.0,True,False,False,True,2251003.0,,False,,,,12.5,,,15437.8814440648,,,,,,
