Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
POOL.OQ,C+,C+,45.2281133243078,45.2281133243078,100.0,C-,A,D,26.7670288523469,83.5850196315313,10.2670057215512,D-,C,D-,C-,D-,B,D,A+,A,D-,3.03030303030303,34.6153846153846,0.0,32.9545454545455,4.28571428571429,60.2272727272727,16.2790697674419,98.4445786771368,89.7765025672002,0.0
CHRW.OQ,C+,C+,43.9654649136435,43.9654649136435,100.0,B-,C,C,51.6311956631505,41.3392910067546,37.8494015240849,B-,B,D-,A-,D,B+,D+,C,C+,B,52.3622047244094,60.5072463768116,0.0,75.3289473684211,16.3265306122449,72.0394736842105,22.9166666666667,36.5599516762307,44.4427665357898,60.5807743658211
AJG.N,B-,B-,52.5705164905684,52.5705164905684,93.9024390243902,C+,B,C-,47.9322417346629,66.2898805172224,27.6463860562757,D-,C-,C,C+,C-,A-,C,A-,C,B,4.73684210526316,28.8732394366197,34.8739495798319,42.6070038910506,29.1666666666667,76.0700389105058,34.156378600823,75.7022047719722,36.3183328299607,64.1855807743658
CNP.N,C,C,35.1615271410822,35.1615271410822,100.0,D+,B,C-,23.2664909990492,65.883390680174,27.5657983991317,D,C,C,D+,D-,C,C,B,B+,A,9.72222222222222,37.1794871794872,35.7142857142857,19.2307692307692,3.125,41.025641025641,37.8378378378378,59.2721232256116,71.0510419812745,91.1882510013351
AMCR.N,B+,B+,71.2757541340442,71.2757541340442,100.0,B+,B+,B+,69.0316313324294,73.3184523809524,72.4234779385696,A,A-,C,C+,B+,A+,B+,B+,A,A-,88.6666666666667,75.6578947368421,40.8450704225352,48.125,69.2857142857143,93.75,67.7631578947369,67.1875,89.0625,80.3571428571429
WM.N,A,A,87.1184382493514,87.1184382493514,100.0,A+,A+,B+,92.2084735496029,94.6309902515075,67.0948868251773,A+,A,D-,A+,A-,A+,A+,A+,A+,A,96.8879668049793,90.5555555555556,0.0,98.6068111455108,80.0,97.6780185758514,96.875,97.085472666868,93.083660525521,84.6795727636849
BA.N,A-,C+,79.1989514783958,44.0112404450803,8.82352941176471,A+,B-,A,93.5426052386775,56.1636327882796,84.0967230443975,A+,A,B+,A+,A+,A+,A,C+,A,A-,93.75,88.953488372093,72.0,93.8679245283019,93.5064935064935,98.5849056603774,85.5670103092783,43.3554817275748,84.8535185744488,77.1695594125501
FOX.OQ,B+,B,74.6699804673805,61.2480337119511,47.8260869565217,A-,B+,C+,83.2776516891942,74.336029232214,41.6715328467153,B-,B,D-,A-,A,A,A-,A,B,C,56.6666666666667,61.6788321167883,0.0,78.75,83.9449541284404,88.5,82.0652173913044,85.0028868360277,63.9289838337182,36.612309310889
TKO.N,D+,D+,19.0253812437578,19.0253812437578,52.2727272727273,C-,D-,D-,32.9437810073236,7.04128196964873,0.0,D-,D-,D-,D+,D-,B+,C,D-,D,D-,0.0,0.0,0.0,20.1986754966887,0.0,68.2119205298013,35.6060606060606,7.33842725246737,10.7449856733524,0.0
WY.N,A,A,85.0898062138818,85.0898062138818,100.0,A-,A+,A-,75.1546083000246,97.4220488467032,82.5147813259487,A,A,B,A-,A,A+,C,A+,A+,A,83.4346504559271,87.883008356546,58.7044534412955,76.4935064935065,87.9166666666667,94.6753246753247,40.1369863013699,99.465935334873,94.6593533487298,91.3466596528143
MCD.N,A-,C,77.5937979511721,39.3921370708242,1.19047619047619,A,B-,A+,84.2938699569134,54.0805828960578,92.5528057806193,A+,A,B,B+,A-,A-,A+,B,C,B-,99.2574257425743,89.6788990825688,66.2162162162162,69.3050193050193,81.3664596273292,79.7297297297297,95.625,58.6378737541528,40.6976744186046,51.3684913217623
HD.N,B+,C+,71.7083607114188,45.6367890513616,19.5652173913043,B+,B,A+,73.5875055669369,59.241516289984,92.4661720975815,A+,A+,A,B,C+,A,A-,B-,B,B+,96.1764705882353,92.5149700598802,87.7551020408163,63.0733944954128,48.75,90.8256880733945,80.0970873786408,55.0437934158864,65.9770462096044,70.1268357810414
SPG.N,B+,B+,68.9458620740866,68.9458620740866,100.0,B+,B,B+,67.0542130824573,65.6221638247285,73.3170733334668,B+,A,C-,B+,D+,A+,C,B-,B+,A+,71.3114754098361,87.5384615384615,28.0092592592593,68.7158469945355,17.5609756097561,92.75956284153,40.9763313609467,56.433101781939,74.3128964059197,98.5313751668892
HBAN.OQ,A-,A-,78.8235708544167,78.8235708544167,100.0,A-,A-,B+,79.010705563733,81.3026906441382,71.9811962702456,A-,B+,B+,A,C,A+,B+,A-,A-,A,75.8458646616541,73.2456140350877,70.6989247311828,88.4570765661253,40.0,98.3178654292343,74.6296296296296,81.5010570824524,78.3902144367261,84.6795727636849
LVS.N,B+,B+,68.5680464942146,68.5680464942146,100.0,B-,B+,A,56.9729828858175,70.987430038645,85.2049485699538,A+,A,C-,A+,B-,A+,D+,A-,D+,A,94.4933920704846,85.0840336134454,25.5555555555556,99.113475177305,53.494623655914,94.1489361702128,16.7953667953668,82.2603926096998,23.8885681293303,85.2709100473435
CTRA.N,C-,C-,28.7830048819409,28.7830048819409,40.0,D,B-,C-,15.8651834286511,53.9086929154306,27.3587504898119,C,C,D-,C-,D-,C,D-,B-,B-,C,40.7327586206897,36.5234375,0.0,31.5298507462687,0.0,36.0074626865672,0.0,58.2452431289641,50.604047115675,37.1829105473965
ON.OQ,B+,B+,68.9335308754026,68.9335308754026,100.0,A,B-,B-,84.0261466338021,57.8080710856194,57.4524006990892,B,A-,C,A-,A+,A-,B+,B,C-,A+,62.797619047619,80.7926829268293,34.9137931034483,77.1052631578947,94.8051948051948,82.8947368421053,73.7142857142857,59.0607067351253,28.7979462398067,95.0600801068091
AIG.N,B-,C,57.3115691441937,38.4118821330725,19.5121951219512,B-,B,B-,53.4566783875042,63.4118688672047,52.5027876235743,C,B-,B-,B,D-,A,C,B,B+,B-,40.7894736842105,52.8169014084507,56.3025210084034,59.3385214007782,7.37179487179487,90.0778210116732,34.156378600823,61.6581093325279,73.8598610691634,56.5086782376502
AIZ.N,B,B,62.6316754626428,62.6316754626428,100.0,B,A-,C-,59.7387516648217,77.9009456818629,26.9490980973561,B+,B,D-,B,D,B,A,A,B,B-,73.9473684210526,60.7981220657277,0.0,58.9494163424125,13.7820512820513,66.3424124513619,87.037037037037,87.7227423739052,59.4231350045304,56.5086782376502
CARR.N,B,B,59.5568753687169,59.5568753687169,100.0,B+,B-,C+,74.2248783625457,53.911176847495,48.2354727172184,A,A-,D+,A-,B,A+,B,C,A+,A,88.6634844868735,75.181598062954,18.4491978609626,77.348643006263,63.8157894736842,97.8079331941545,59.6629213483146,34.8988221081244,92.4343098761703,91.1882510013351
EVRG.OQ,B-,B-,51.1718834609312,51.1718834609312,100.0,C-,A+,C+,29.4261294261294,92.5442050523555,43.4643297278829,D+,B-,B-,D,D-,A,D,A+,A,A-,18.075117370892,55.6818181818182,56.7632850241546,13.6363636363636,0.0,85.0649350649351,15.4040404040404,96.843853820598,87.5717305949864,78.5046728971963
SMCI.OQ,C+,C+,42.4151801607479,42.4151801607479,100.0,C+,C+,C-,47.3909605845909,43.3071579583208,30.6966366966367,D,D,C+,D,B,B,C,C+,B-,D-,14.7435897435897,9.74025974025974,43.3333333333333,15.1685393258427,64.0,62.9213483146067,37.6470588235294,48.5200845665962,54.8021745696164,0.0
COST.OQ,B+,B+,71.8845405345923,71.8845405345923,100.0,C+,A-,A+,44.0536743620195,82.0733086269169,92.9544195034063,A+,A,A-,C,B-,C-,B,A+,C,B,99.4252873563218,89.6341463414634,79.2452830188679,39.4736842105263,53.7974683544304,30.0,60.0,99.5814087759815,38.4670900692841,59.9421357180431
MCO.N,B+,B+,70.424530506128,70.424530506128,100.0,B,A-,B,65.5691913753227,80.2281642142542,65.2822601301163,A+,A,D-,A+,C,A+,C-,A,C,A+,94.3983402489627,87.962962962963,0.0,99.5356037151703,36.3636363636364,97.9876160990712,27.4671052631579,88.3267894895802,40.2295379039565,99.7329773030708
DIS.N,A-,C+,77.764502586691,43.0489179600121,8.33333333333333,A,B+,B-,89.1219051370318,69.3552784967695,58.1304347826087,A+,A-,D-,A-,A-,A+,A+,A-,C+,B+,93.4782608695652,75.2173913043478,0.0,79.6195652173913,82.7777777777778,98.6413043478261,92.9411764705882,75.732407127756,47.5838115372999,70.1268357810414
LULU.OQ,C,C,38.495929150358,38.495929150358,100.0,C-,B-,C,30.0045593813101,56.6263592236207,34.6726723074254,C-,D,B-,D+,C,B-,D,B,A-,D-,27.4038461538462,16.4893617021277,54.9295774647887,23.6111111111111,34.1836734693878,56.0185185185185,13.7254901960784,60.7218363032316,76.6535789791604,6.10814419225634
PAYX.OQ,B-,B-,54.1583707554617,54.1583707554617,100.0,B,C,B+,61.056053147906,35.2242195368185,68.6161506689029,B+,A,C,A,C+,A-,C-,D+,A-,B-,72.5524475524475,89.9038461538462,38.5321100917431,85.0140056022409,49.2395437262357,79.4117647058823,25.9587020648968,18.2015011547344,77.1362586605081,57.4697527617044
WSM.N,B,B,61.4847760332144,61.4847760332144,100.0,B+,C+,B,71.8260376770286,47.8453394754199,65.7830677181052,C+,B+,A,B-,C+,A,A-,B-,C,C+,45.5882352941176,67.9640718562874,87.7551020408163,55.7339449541284,48.75,90.8256880733945,80.0970873786408,50.8154636061613,38.2663847780127,47.3631508678238
AMD.OQ,B,B,65.9534606146565,65.9534606146565,100.0,B+,B-,B,73.1961791531169,54.2071505253422,65.7833143653687,A+,A-,C,A,B+,A+,C,C+,B-,A,94.9404761904762,75.9146341463415,34.9137931034483,86.5789473684211,72.0779220779221,98.1578947368421,34.8571428571429,47.1005738447599,57.5807913017215,84.6795727636849
REG.OQ,A-,A-,80.0233300301844,80.0233300301844,100.0,A+,B+,A-,93.4869573755877,71.4990059567325,76.4948791342234,A-,A,C-,A,A,A+,A+,B+,B,A,81.1475409836066,84.4615384615385,28.0092592592593,88.1147540983606,90.4878048780488,98.4972677595628,94.5266272189349,72.5309574146783,59.2721232256116,84.6795727636849
DHI.N,C+,C+,42.9273301775519,42.9273301775519,100.0,D+,A-,C,23.3968159500075,77.2505788784859,40.0616047331052,D+,C,B-,C-,D-,B,D+,A+,B+,D-,18.1451612903226,35.9848484848485,56.8807339449541,26.9230769230769,0.0,61.8881118881119,18.4615384615385,94.7598912715192,70.386590154032,0.0
TTD.OQ,D,D,15.8276703493357,15.8276703493357,100.0,D+,D,D-,23.8585107878276,13.6605255209906,0.0,D-,D-,D-,D-,D-,C,C,D+,D-,D-,0.0,0.0,0.0,4.33823529411765,0.0,34.5588235294118,34.2592592592593,20.2506795530051,0.800362428269405,0.0
