Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
POOL.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CHRW.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,109.34092571671,2526005,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
AJG.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CNP.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,27.9017001915709,233035,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AMCR.N,False,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,True,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
WM.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,797.501533656796,14300000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BA.N,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
FOX.OQ,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
TKO.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
WY.N,True,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,549.882168106834,5600000,2305000.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
MCD.N,False,False,False,False,False,False,True,True,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,True,,False,True,,,,1,,,,,,,,,,,,
HD.N,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,,,4188000.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
SPG.N,False,False,False,False,True,False,True,False,,,,True,True,True,True,True,True,False,False,619.138170610871,3168000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
HBAN.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,1706.38507761642,10222953,,,True,True,False,False,True,,True,True,,,,1,,,,,,,,,,,,
