Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
POOL.OQ,,,,,,,,,,,5500,,False,True,True,True,True,True,True,True,False,False,True,False,True,False,,,,22.2222222222222,5500,0.0,,0.0,,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,False,10.9,60000.0,,,True,True,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
CHRW.OQ,,,,,,,,,,,16877,,False,True,True,False,True,True,True,True,False,False,True,False,False,False,,111.885388213344,,13.3597528210639,16877,,19.0,0.0,,False,False,48.0,49.0,41.0,,False,False,2.0,,1.3,1.3,,,20.0,,,0.59252,0,0,8.3901167269e-05,0.6,,,354.0,,,False,16.0,270032.0,,,True,False,False,False,,,,,,,True,,,,,,,,,,,,,,,,,,,
AJG.N,,,,,,,,,,,39000,,False,True,True,False,True,True,True,True,False,False,True,False,False,False,,140.203464885022,,20.3666553501435,,,,0.0,,False,False,58.0,,47.0,100,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,True,1,,,,,,False,,,,,,,25.0,,,,,,15.0,,,,,,
CNP.N,,,,,,,,,,,9418,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,-1.289173042658,9418,37.0,13.0,0.0,,False,False,23.0,28.0,21.19,65,True,False,,,7.5,7.5,,7.5,136.0,,136.0,,0,,,3.85,,3.85,,,,False,16.728,157543.0,,,False,True,False,False,,,,,,,False,,,11.0,2.0,,,36.0,,,,,,,,,,,,
AMCR.N,False,True,False,True,False,True,True,True,False,,37000,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,-19.5652173913043,44000,40.0,19.55417,0.0,,False,False,22.0,27.0,28.0,,False,False,,,2.13,,,2.13,281.0,71,210.0,,0,,,0.59,0.0,0.59,,,,False,,,,,False,True,False,False,,,,,,,False,,,,,,,27.0,4.0,8.0,11.0,73.0,4.0,,,,,,,
WM.N,,,,,,,,,,,48500,,False,True,True,True,True,True,True,True,True,True,True,False,True,True,,142.695786390266,,0.518134715025909,48348,17.52577,25.4,0.0,,False,False,19.4,,21.7,80,False,True,20.0,,15.0,15.0,,15.0,1450.0,,1450.0,,,,,12.0,,12.0,,,,False,30.0,438631.0,31426200.0,647.962886597938,False,True,True,False,,,,,,,False,,97.0,20.9,4.5,,,49.7,1.5,18.6,21.0,50.3,8.6,28.7,2.6,7.9,11.0,71.3,7.2,
BA.N,False,True,False,False,False,True,True,False,True,,142000,,True,True,True,False,True,True,True,True,True,True,True,False,False,True,,,,0.709219858156018,141582,31.0,4.1,0.0,,False,False,22.76561,24.7,22.9,90,True,True,6.4,,1.8,1.8,,,2119.0,,,,0,,1.4929577e-08,,,,0.53,,,False,23.6,3600000.0,,,True,True,False,False,,1,,,,,True,,88.5,4.1,,,,,14.6,6.6,7.4,67.1,3.8,24.3,,,,,,
FOX.OQ,False,False,False,False,False,False,False,False,False,,10600,,True,True,True,False,True,True,True,True,False,True,True,False,False,False,,,,17.7777777777778,10000,,,0.0,,False,False,39.85,,,75,True,True,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,False,False,,2,,,,,True,,,,,,,35.64,9.76,10.07,12.34,64.36,3.47,31.99,12.6,4.42,10.62,68.01,4.35,
TKO.N,,,,,,,,,,,900,,False,False,False,False,True,True,False,True,False,False,False,False,False,False,,,,-6.25,,,,0.0,,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
WY.N,True,True,True,False,False,False,False,False,False,,9264,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,0.542652485348394,9277,26.0,22.9,0.0,,True,True,18.0,,,100,True,False,2.02652,,8.1,,,8.1,,,150.0,,0,2,0.002873920552677,3.63,,,6656.0,,,False,4.1466,38468.0,,,True,True,False,True,1,,,,,,True,,,14.5,5.7,,11.0,26.0,2.0,16.0,5.0,74.0,3.0,,,,,,,
