Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
STAN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29640280213974,2.47247198710999,,,True,True,False,True,False,False,True,True,True,False,49.6932515337423,0.069444444444444,,777600.0,777600.0,712800.0,,,54000.0,,True,False,23.1978527607362,363000.0,363000.0,,True,,False,False,False,,,54000.0,69444.4444444445,,
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.184734967226,670.565332459305,,,True,True,True,True,True,True,False,True,True,False,901.402466042568,0.189513593355889,,12142844.0,5201629.0,2240728.0,19038.0,,2301234.0,19038.0,True,False,1514.2093155719,20398000.0,20398000.0,,True,True,True,False,False,,,2320272.0,191081.43034696,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,417.414051309287,432.191952061248,,,True,True,True,True,True,True,True,True,True,True,2192.59790768389,0.082535412695789,,4005202.0,4005202.0,552880.0,,,330571.0,,True,False,2270.2234551878,4147000.0,4147000.0,,True,True,False,False,False,,,330571.0,82535.4126957891,,
ANTO.L,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,1030.44986396819,2664.93896712495,,,True,True,False,False,True,False,True,True,False,False,5123.35016473983,0.093038311668544,,26279200.0,26279200.0,12588597.0,,,2444972.4,,True,False,13249.9561343653,67963000.0,38928000.0,389708000.0,False,,False,True,True,1,,2444972.4,93038.3116685439,,
EZJ.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,8291.41508953238,,,,True,False,False,True,False,False,False,False,False,False,15880.3227289097,,,61712895.3444,61712895.3444,,,,,,False,False,,,,,False,,False,False,False,,,,,,
BNZL.L,True,True,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,98.9671805789939,,,,True,False,True,True,False,False,False,True,True,False,98.7089825780334,,,1220662.08101,1220662.081,,,,,,False,False,,,,,True,True,False,False,False,,,,,,
SGE.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,7.44285340085567,3.66716144241683,,,True,False,False,True,False,False,False,False,False,False,34.6837084465732,0.155215090975212,,85243.0,85243.0,62281.0,,,13231.0,,True,False,17.088978036391,42000.0,42000.0,,True,,False,False,False,,,13231.0,155215.090975212,,
SVT.L,False,True,True,False,True,True,False,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,,712800,,,False,False,,,,,,,,,,,,,477.133693688662,,,,True,False,False,True,True,True,False,True,True,False,2899.57147911327,,0.4911051212938,6678000.0,3283200.0,2775600.0,712800.0,,,2682000.0,True,False,,,,,True,True,False,False,False,,,3279600.0,491105.121293801,,
LMPL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60097174975227,,,,True,True,False,True,True,False,False,False,True,False,36.0855256551978,,,4082.4,4082.4,,,,,,True,False,,,,,True,True,False,False,False,,,,,,
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13287.9241413938,20.1976940327971,,,True,False,False,True,True,False,True,True,False,False,15071.2295013337,0.002,,430920000.0,430920000.0,963720.0,,,861840.0,,True,False,22.9083248012939,655000.0,655000.0,,True,True,False,False,False,,,861840.0,2000.0,,
