Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
STAN.L,A,B-,84.5623627962049,53.7395147314358,22.9166666666667,A-,A+,B+,81.8367979075278,92.470608756323,74.1798047346858,B+,A-,B+,A-,A+,A-,B+,A+,A-,A+,69.078104993598,78.448275862069,74.3881118881119,82.0473251028807,92.8929765886288,80.5041152263374,71.1334745762712,95.5259026687598,81.7111459968603,93.3333333333333
CCEPC.L,A,B+,83.5570564462711,68.8618615564689,54.1666666666667,A-,A,A,76.2373083734684,87.562176279841,91.4362927520822,A+,A,A,A,A,B-,B+,A,A+,A+,93.4210526315789,90.0,89.3939393939394,83.3333333333333,88.9423076923077,57.6923076923077,67.2413793103448,84.1331269349845,95.1238390092879,93.3649289099526
CRDA.L,A-,A-,77.6720570357501,77.6720570357501,100.0,A-,B,A-,78.9662050343395,66.5301845357749,82.7375347414918,A+,B,A,A,A,B,B,B+,C+,A+,97.488038277512,64.6572104018912,85.062893081761,86.7205542725173,91.2073490813648,60.7390300230947,62.7098321342926,66.7956656346749,47.7554179566564,93.3649289099526
ANTO.L,A-,A-,76.5279236532301,76.5279236532301,100.0,A,B,A-,86.1486379812241,61.5548578405721,75.9738194653239,A,A-,D-,A+,A,A+,D+,B,C-,A+,88.9210019267823,78.3396946564885,0.0,95.9532374100719,88.4199134199134,98.1115107913669,20.3155818540434,66.0125588697017,25.5102040816327,93.3333333333333
EZJ.L,B+,C+,72.81246680033,43.4714507914693,14.1304347826087,A-,A-,B-,82.1868513015316,80.2964863243609,53.4622879763705,D+,A,C+,A-,A,B+,A,A+,C+,B,20.2970297029703,90.7766990291262,50.0,83.1730769230769,91.5789473684211,69.7115384615385,83.9805825242718,93.4850863422292,49.2150706436421,60.9756097560976
BNZL.L,C+,C+,44.4038077218885,44.4038077218885,100.0,C+,B-,D+,48.7402642216307,57.0490497687393,24.3506493506494,C+,C+,D-,C,B+,C,D,B,C,B,47.7272727272727,50.0,0.0,36.9565217391304,67.5,36.9565217391304,9.52380952380952,60.6037151702786,40.7894736842105,63.6650868878357
SGE.L,B-,B-,57.7610173815936,57.7610173815936,100.0,A-,C+,C+,75.3938377613321,45.2816683896823,48.7461221905666,A+,A-,D-,A+,A,A,C-,C+,D,A-,93.7692307692308,78.7037037037037,0.0,97.9016786570743,91.0833333333333,90.4676258992806,32.4691358024691,48.116169544741,13.5007849293564,78.780487804878
SVT.L,B+,C,70.6214154334455,41.5607077167227,12.5,A-,A-,B,77.9924376698571,77.3685679399965,61.4253393665158,A-,A-,D,A+,B-,A+,D+,A,C-,A+,80.7692307692308,80.7692307692308,15.0,96.1538461538462,52.7777777777778,93.5897435897436,16.6666666666667,87.9905808477237,31.3186813186813,93.3333333333333
LMPL.L,C+,C+,45.5960744811372,45.5960744811372,100.0,B-,C-,B-,54.9984605583806,28.9142108375558,52.328132618235,B-,C+,A-,A,D,D,A-,C-,D,B-,56.25,41.6666666666667,76.6211604095563,90.1741293532338,14.0575079872204,15.7960199004975,75.9590792838875,29.2778649921507,10.989010989011,53.9837398373984
ICAG.L,B+,C+,68.7159170077018,49.6018609428753,30.4878048780488,B-,A,B+,51.811320754717,91.2781662781663,70.8296197266785,A-,B+,C+,B-,B+,B,D,A+,A,B+,79.9019607843137,70.6730769230769,50.0,57.6190476190476,70.8333333333333,59.5238095238095,10.5769230769231,96.7948717948718,85.2564102564103,72.7272727272727
